id,log,backbone,project,fine_tuning,total_params,trainable_params,test_next_activity_acc,test_next_activity_loss,test_next_remaining_time_loss,test_next_time_to_next_event_loss,best_test_next_activity_acc,best_test_next_activity_loss,best_test_next_remaining_time_loss,best_test_next_time_to_next_event_loss,_runtime,mt_score
49qlo8ub,BPI12,majority,llm-peft-ppm_majority_baseline,,1.0,1.0,0.22603302830998,6.20041873627538,1.388433352722111,1.543364346726199,0.22603302830998,6.20041873627538,1.388433352722111,1.543364346726199,2.224464953,2.155418759881094
2odprtut,BPI12,majority,llm-peft-ppm_majority_baseline,,1.0,1.0,0.22603302830998,6.20041873627538,1.388433352722111,1.543364346726199,0.22603302830998,6.20041873627538,1.388433352722111,1.543364346726199,2.33086188,2.155418759881094
j219apu5,BPI12,majority,llm-peft-ppm_majority_baseline,,1.0,1.0,0.22603302830998,6.20041873627538,1.388433352722111,1.543364346726199,0.22603302830998,6.20041873627538,1.388433352722111,1.543364346726199,2.3619995,2.155418759881094
7fp44axc,BPI12,rnn,llm-peft-ppm_rnn,,1605149.0,1605149.0,0.8142157563625965,0.5379265214430798,1.9052136470019083,1.326522759515829,0.8142157563625965,0.5333307297324534,1.727697263897096,1.2465728997570602,50.339754009,2.796268097092785
hwnt2nws,BPI12,transformer,llm-peft-ppm_transformer_baseline,,338973.0,338973.0,0.7432442093222762,0.7455891411339245,2.494445076270345,1.3386641938600468,0.7625107234772662,0.6960763737307912,2.4622738524474586,1.3386641938600468,26.525456156,2.681667007455382
r48t6tgy,BPI12,gpt2,llm-peft-ppm_gpt2,freeze,124497437.0,14233373.0,0.7852266228195596,0.658050718931665,2.4708903074863215,1.3862774755665512,0.7904811266800115,0.647296463468261,2.1773739242721173,1.3862774755665512,227.4079756,2.7270411153570215
vixxj0ts,BPI12,gptneo-1b3,llm-peft-ppm_gpt-neo-1.3B,freeze,1315729437.0,50505757.0,0.7426544180726337,0.7694183949456748,2.4755715378588756,1.4410530577784189,0.7437803831855877,0.7694183949456748,2.3720220453654486,1.38620974495461,1532.273775947,2.675774091613807
zqzfvh6u,BPI12,qwen25-05b,llm-peft-ppm_qwen25-05b,freeze,494099997.0,29932317.0,0.8005254503860452,0.5702045666155625,2.633857466769558,1.3057715051418235,0.8005254503860452,0.5702045666155625,2.4742670876839807,1.3057715051418235,685.616875469,2.739591346296124
doiv6r7l,BPI12,llama32-1b,llm-peft-ppm_llama32-1b,freeze,1235968029.0,61038621.0,0.794734772662282,0.6309888589043838,2.5997683628402863,1.289283757450361,0.8129110666285387,0.6063029734465201,1.9904794147568905,1.289283757450361,1240.22099241,2.7361326607785577
hmfvtw60,BPI12,gemma-2-2b,llm-peft-ppm_gemma-2-2b,freeze,2614514717.0,78271517.0,0.8062267657992565,0.6275678911795778,2.5598756759608587,1.4282334145357738,0.8062267657992565,0.6275678911795778,2.129163233742804,1.3541504614302036,2402.566256612,2.742716180250466
