backbone,batch_size,categorical_features,categorical_targets,continuous_features,continuous_targets,device,embedding_size,epochs,fine_tuning,freeze_layers,grad_clip,hidden_size,log,lora_alpha,lr,model,n_layers,r,rnn_type,seed,strategy,total_params,trainable_params,weight_decay,id,name,best_train_next_remaining_time_loss,_runtime,train_next_activity_acc,best_train_next_activity_loss,train_next_time_to_next_event_loss,_timestamp,_wandb.runtime,train_next_activity_loss,best_train_next_time_to_next_event_loss,_step,best_test_next_remaining_time_loss,test_next_activity_acc,train_next_remaining_time_loss,best_train_next_activity_acc,test_next_remaining_time_loss,test_next_time_to_next_event_loss,best_test_next_activity_acc,test_next_activity_loss,best_test_next_activity_loss,best_test_next_time_to_next_event_loss,few_shot_k
gptneo-1b3,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,10,freeze,"-1,-2",5,2048,BPI20PrepaidTravelCosts,,5e-05,nep,1,,lstm,42,sum,1315749922,100878370,0.1,rrexum1z,usual-durian-60,0.6608623403734929,133.401865545,0.7706928838951311,0.7676303811734089,0.646222399057967,1763423142.6221693,133,0.7676303811734089,0.646222399057967,9,0.8822368384351825,0.5718811881188118,0.6608623403734929,0.7707865168539326,0.9400985708331118,1.0556763164595802,0.5752475247524752,1.4322972121097073,1.3795178787306983,1.053715454941929,
gptneo-1b3,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,10,freeze,"0,1",5,2048,BPI20PrepaidTravelCosts,,5e-05,nep,1,,lstm,42,sum,1315749922,100878370,0.1,6djepkuw,sage-night-61,0.6444287545448831,133.092122831,0.8080524344569289,0.6490075057811951,0.6524085057362189,1763423288.9614315,133,0.6490075057811951,0.6493523371855864,9,0.8881458750809773,0.5831683168316831,0.6530821352639001,0.8080524344569289,0.8881458750809773,1.2035201756316836,0.5922772277227722,1.419999250279795,1.384585741722938,0.9746041153445102,
gptneo-1b3,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,10,freeze,0,5,2048,BPI20PrepaidTravelCosts,,5e-05,nep,1,,lstm,42,sum,1315749922,50526242,0.1,7w8fgre8,expert-terrain-62,0.6344169011723236,121.737730104,0.8117041198501873,0.632795099908493,0.6622851075974296,1763423423.6856842,121,0.632795099908493,0.6558490474349105,9,0.8891927054376886,0.6221782178217822,0.6344169011723236,0.8126404494382022,0.9785235778884132,1.0695862704928558,0.6221782178217822,1.120632528078438,1.120632528078438,0.9874091110607184,
gptneo-1b3,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,10,freeze,-1,5,2048,BPI20PrepaidTravelCosts,,5e-05,nep,1,,lstm,42,sum,1315749922,50526242,0.1,1gxvgxlz,cerulean-armadillo-63,0.6422339874037196,121.262259718,0.7662921348314606,0.8302152149686206,0.6482808107963662,1763423557.6433744,121,0.8302152149686206,0.6482808107963662,9,0.8649134671806109,0.5722772277227722,0.6422339874037196,0.7662921348314606,0.9158542870058872,1.029001391099231,0.5722772277227722,1.4020487122488494,1.3866595285245689,0.975526860633699,
gptneo-1b3,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,10,freeze,,5,2048,BPI20PrepaidTravelCosts,,5e-05,nep,1,,lstm,42,sum,1315749922,174114,0.1,897tkkxv,glad-cosmos-64,0.6320729220404607,110.107547642,0.7460674157303371,0.939399381701866,0.7335743611001789,1763423680.7628107,110,0.939399381701866,0.7335743611001789,9,0.942567154346126,0.5685148514851485,0.6326872288957517,0.7460674157303371,0.942567154346126,1.1312554808890465,0.5685148514851485,1.371139907836914,1.371139907836914,1.1312554808890465,
gptneo-1b3,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,0,freeze,,5,2048,BPI20PrepaidTravelCosts,,5e-05,nep,1,,lstm,42,sum,1315749922,174114,0.1,0cxuyd0w,rural-disco-65,,3.005463618,,,,1763423696.3731291,3,,,0,1.677553415676155,0.0,,,1.677553415676155,3.8335706382222696,0.0,4.765560879848971,4.765560879848971,3.8335706382222696,
gptneo-1b3,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,10,freeze,,5,2048,BPI20PrepaidTravelCosts,,5e-05,nep,1,,lstm,42,sum,1315749922,174114,0.1,3ceuriw6,chocolate-field-66,0.6553499344654999,29.444526509,0.11790393013100436,3.01927481988632,0.84399339439567,1763423738.130243,29,3.01927481988632,0.84399339439567,9,1.1261592630820698,0.07643564356435643,0.6553499344654999,0.11790393013100436,1.1261592630820698,1.5756789026165954,0.07643564356435643,3.1290403781550946,3.1290403781550946,1.5736108496637629,8.0
gptneo-1b3,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,10,lora,,5,2048,BPI20PrepaidTravelCosts,512,5e-05,nep,1,256,lstm,42,sum,1366081570,50505762,0.1,pcd82quu,glowing-butterfly-67,0.9276371236451328,35.323489156,0.13537117903930132,3.0015256207062166,0.7885195854969941,1763423785.6628156,35,3.0015256207062166,0.7772321265076966,9,0.9580881071562816,0.05267326732673267,0.9276371236451328,0.13537117903930132,0.9580881071562816,1.4448288047903834,0.06891089108910892,3.3200722964447325,3.266922332083825,1.4448288047903834,8.0
gptneo-1b3,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,10,lora,,5,2048,BPI20PrepaidTravelCosts,512,5e-05,nep,1,256,lstm,43,sum,1366081570,50505762,0.1,cjhtfxmr,charmed-field-68,0.6837074122178867,133.561044014,0.8060861423220974,0.6477280689089486,0.6843820403131207,1763423931.568535,133,0.6477280689089486,0.6804988808846206,9,0.880812500207731,0.6283168316831683,0.7111924550283267,0.8060861423220974,0.880812500207731,0.9580493956273144,0.7019801980198019,1.11066236741472,1.001257443616886,0.9487176764837586,
gptneo-1b3,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,10,freeze,"-1,-2",5,2048,BPI20PrepaidTravelCosts,,5e-05,nep,1,,lstm,43,sum,1315749922,100878370,0.1,c7acgvnx,decent-valley-69,0.6710193198495144,133.793561759,0.7412921348314607,0.8809673769197214,0.6928963707069332,1763424078.7968154,133,0.8809673769197214,0.6854633810814846,9,0.9175785065641496,0.4617821782178218,0.6791968505257524,0.7412921348314607,0.9482487603933504,1.30345374230111,0.5467326732673268,1.8865633228981848,1.4641621764343564,1.1535977699733015,
