backbone,batch_size,categorical_features,categorical_targets,continuous_features,continuous_targets,device,embedding_size,epochs,fine_tuning,freeze_layers,grad_clip,hidden_size,log,lora_alpha,lr,n_layers,r,rnn_type,strategy,total_params,trainable_params,weight_decay,id,name,test_next_activity_loss,train_next_time_to_next_event_loss,best_train_next_activity_acc,_wandb.runtime,_step,best_test_next_activity_acc,train_next_activity_loss,best_test_next_activity_loss,best_train_next_time_to_next_event_loss,best_test_next_time_to_next_event_loss,test_next_time_to_next_event_loss,test_next_activity_acc,test_next_remaining_time_loss,best_train_next_remaining_time_loss,train_next_remaining_time_loss,best_test_next_remaining_time_loss,train_next_activity_acc,_timestamp,best_train_next_activity_loss,_runtime,model,few_shot_k,seed
qwen25-05b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,896,10,freeze,-1,5,896,BPI17,,5e-05,1,,lstm,sum,494101790,15023518,0.1,a8cqzqh5,colorful-frog-11,0.4834059011798658,0.2138333692064821,0.8958115384663115,2315,9,0.8591199191541024,0.2788027059929089,0.3989485862787249,0.2138333692064821,0.9139250785846316,1.108530458712964,0.8351611831173147,5.098191916071414,0.5111809873580518,0.5111809873580518,0.6804915373628431,0.8958115384663115,1762638537.4876497,0.2788027059929089,2315.515223795,nep,,
qwen25-05b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,896,10,freeze,,5,896,BPI17,,5e-05,1,,lstm,sum,494101790,112926,0.1,o7br3aq1,lunar-forest-12,0.5075827267976841,0.61354867192916,0.8657585110119147,2245,9,0.8298166724316846,0.3907947823352544,0.4917081767337248,0.61354867192916,0.8891246390306652,0.9241577307839226,0.8236243650002374,0.7875559405648059,0.546641480362031,0.546641480362031,0.7127912407147255,0.8657585110119147,1762640812.779678,0.3907947823352544,2245.814549827,nep,,
qwen25-05b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,896,10,lora,,5,896,BPI20PrepaidTravelCosts,512,5e-05,1,256,lstm,sum,634880290,140847522,0.1,8wuine0w,classic-totem-13,1.0209363486035037,0.7309505280260736,0.773314606741573,219,9,0.7467326732673267,0.7898545183046034,0.9061941575531912,0.7199279753902879,0.9580225806661172,0.9580225806661172,0.6922772277227722,0.9320864248747872,0.6849866019764197,0.6855684461888303,0.9320864248747872,0.7662921348314606,1762641048.2913024,0.7854009618026934,219.897821985,nep,,
qwen25-05b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,896,10,freeze,"-1,-2",5,896,BPI20PrepaidTravelCosts,,5e-05,1,,lstm,sum,494108962,29941282,0.1,5n3uvxzc,rich-leaf-14,1.5058151890971874,0.3268160327878338,0.9215355805243446,114,9,0.6203960396039604,0.25295472624484966,1.2379548697896523,0.3268160327878338,1.053878172222931,1.307185234598594,0.6203960396039604,1.3730771856968946,0.41542924489644584,0.41542924489644584,1.061423924512202,0.9215355805243446,1762641177.292846,0.25295472624484966,114.394305006,nep,,
qwen25-05b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,896,10,freeze,"0,1",5,896,BPI20PrepaidTravelCosts,,5e-05,1,,lstm,sum,494108962,29941282,0.1,fgeddh5e,fiery-sound-15,1.171026372815123,0.5014607906118315,0.8588951310861423,114,9,0.6443564356435644,0.4645004793499293,1.1148362428835124,0.5014607906118315,1.0730256342179705,1.5512374885483544,0.6443564356435644,1.035304533986762,0.5385548074816943,0.5385548074816943,0.9079934433663246,0.8588951310861423,1762641304.76413,0.4645004793499293,114.198436045,nep,,
qwen25-05b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,896,10,freeze,0,5,896,BPI20PrepaidTravelCosts,,5e-05,1,,lstm,sum,494108962,15030690,0.1,vy62qc0w,dutiful-darkness-16,1.304883326162206,0.5251059745581409,0.8329588014981273,109,9,0.6037623762376237,0.5463876362150528,1.304883326162206,0.5251059745581409,1.1492669423735968,1.1551737597437188,0.6001980198019802,1.080904116394496,0.5477651489249776,0.5477651489249776,0.9672325504416286,0.8329588014981273,1762641427.5250683,0.5463876362150528,109.01662277,nep,,
qwen25-05b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,896,10,freeze,-1,5,896,BPI20PrepaidTravelCosts,,5e-05,1,,lstm,sum,494108962,15030690,0.1,6bwvo4j9,likely-monkey-17,1.3708363192152269,0.4085014046466306,0.8822097378277154,110,9,0.597029702970297,0.3927342517992084,1.3708363192152269,0.4085014046466306,1.1684303539578278,1.355531004443027,0.597029702970297,1.7490953063964845,0.4479533717092057,0.4479533717092057,0.98042194895225,0.8822097378277154,1762641551.3940134,0.3927342517992084,110.699090242,nep,,
qwen25-05b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,896,10,freeze,,5,896,BPI20PrepaidTravelCosts,,5e-05,1,,lstm,sum,494108962,120098,0.1,1038jw5q,devout-thunder-18,1.434538594519738,0.690271854646197,0.7853932584269663,104,9,0.5900990099009901,0.8206100869268067,1.434538594519738,0.690271854646197,1.1850958289722404,1.1850958289722404,0.5900990099009901,1.1566813429275362,0.6217592372429951,0.6217592372429951,1.1558884726420489,0.7853932584269663,1762641669.3770702,0.8206100869268067,104.661051716,nep,,
qwen25-05b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,896,10,lora,,5,896,BPI20TravelPermitData,512,5e-05,1,256,lstm,sum,634917943,140885175,0.1,n84z8h1p,comic-flower-19,0.9264611990005008,0.7233049927351952,0.7756274335942018,766,9,0.7602655140475455,0.729383395757638,0.8425193852574488,0.7233049927351952,0.8480067738341343,0.8745913037991737,0.7390552639703613,1.0982437044280884,0.5406789667802409,0.5406789667802409,0.8619110624743818,0.7756274335942018,1762642453.8256228,0.729383395757638,766.364530702,nep,,
qwen25-05b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,896,10,freeze,"-1,-2",5,896,BPI20TravelPermitData,,5e-05,1,,lstm,sum,494146615,29978935,0.1,up7ock4a,hearty-donkey-20,1.5771722301872986,0.27818896534347404,0.9101738694629709,392,9,0.6272306267366471,0.2603797720954672,1.2407866374030825,0.27818896534347404,0.9907105216497109,1.1054751871691402,0.6272306267366471,1.0878159732942263,0.2899430954142439,0.2899430954142439,0.9402482632245132,0.9101738694629709,1762642863.6400075,0.2603797720954672,392.36485039,nep,,
qwen25-05b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,896,10,freeze,"0,1",5,896,BPI20TravelPermitData,,5e-05,1,,lstm,sum,494146615,29978935,0.1,z5ac08bm,brisk-feather-21,1.1447723051838463,0.5098233293184563,0.8489725895369906,397,9,0.665050941648657,0.4624619763001999,1.1433675596985635,0.5098233293184563,0.9621086484526882,1.1242474426123492,0.665050941648657,1.063693718646698,0.40021077056375776,0.40021077056375776,0.9281284833108984,0.8489725895369906,1762643277.135743,0.4624619763001999,397.544773852,nep,,
qwen25-05b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,896,10,freeze,0,5,896,BPI20TravelPermitData,,5e-05,1,,lstm,sum,494146615,15068343,0.1,seboaecr,glorious-galaxy-22,1.2717397606788725,0.61457811076941,0.8325494429237827,391,9,0.6447669033652362,0.5306856625155203,1.2140335868559855,0.61457811076941,0.939499932036204,1.099746453655322,0.6339919728311207,0.9484089573138508,0.4586565599435462,0.4586565599435462,0.9063991633489126,0.8325494429237827,1762643684.458725,0.5306856625155203,391.133903817,nep,,
qwen25-05b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,896,10,freeze,-1,5,896,BPI20TravelPermitData,,5e-05,1,,lstm,sum,494146615,15068343,0.1,3ar6dkpk,robust-terrain-23,1.3899341685715263,0.47348253757934616,0.853579552025907,385,9,0.6189873417721519,0.45024747101057144,1.260867249976709,0.47348253757934616,1.093207514687209,1.238999825607446,0.6065761037357209,1.219399028282248,0.41697218164068,0.41697218164068,0.927132945871898,0.853579552025907,1762644086.6949368,0.45024747101057144,385.798715395,nep,,
