backbone,batch_size,categorical_features,categorical_targets,continuous_features,continuous_targets,device,embedding_size,epochs,fine_tuning,freeze_layers,grad_clip,hidden_size,log,lora_alpha,lr,majority_stat,model,n_layers,r,rnn_type,strategy,total_params,trainable_params,weight_decay,id,name,best_train_next_remaining_time_loss,_runtime,train_next_activity_acc,best_train_next_activity_loss,train_next_time_to_next_event_loss,_timestamp,_wandb.runtime,train_next_activity_loss,best_train_next_time_to_next_event_loss,_step,best_test_next_remaining_time_loss,test_next_activity_acc,train_next_remaining_time_loss,best_train_next_activity_acc,test_next_remaining_time_loss,test_next_time_to_next_event_loss,best_test_next_activity_acc,test_next_activity_loss,best_test_next_activity_loss,best_test_next_time_to_next_event_loss
rnn,32,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,1,,,5,32,BPI20PrepaidTravelCosts,,0.0001,mean,majority,1,,lstm,concat,1,1,0.1,pox3cg0n,devoted-dream-14,1.010855986920189,1.127169396,0.11320224719101124,7.104727892929248,1.0023607343323668,1762725434.0954568,1,7.104727892929248,1.0023607343323668,0,1.590166987050878,0.11643564356435644,1.010855986920189,0.11320224719101124,1.590166987050878,1.5882711742892124,0.11643564356435644,7.078860854347154,7.078860854347154,1.5882711742892124
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,5,32,BPI12,,0.0001,,majority,1,,lstm,concat,1,1,0.1,whfyo8uu,comic-smoke-17,1.002977904318027,35.600979633,0.20769741207697412,6.347103796835554,1.0002232369445516,1762849426.3144577,35,6.347103796835554,1.0002232369445516,15,1.3884333616534337,0.22603302830998,1.002977904318027,0.20769741207697412,1.3884333616534337,1.5433643597482032,0.22603302830998,6.200418674097015,6.200418674097015,1.5433643597482032
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,5,32,BPI20TravelPermitData,,0.0001,,majority,1,,lstm,concat,1,1,0.1,oy378knj,fast-glitter-20,1.005812552344841,23.808586843,0.09379698523458883,7.266918261346501,1.0011321142849547,1762849602.1916804,23,7.266918261346501,1.0011321142849547,15,1.459291628548745,0.0783883914788515,1.005812552344841,0.09379698523458883,1.459291628548745,1.2475121456003735,0.0783883914788515,7.390187048728027,7.390187048728027,1.2475121456003735
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,5,32,BPI20RequestForPayment,,0.0001,,majority,1,,lstm,concat,1,1,0.1,3gchqw9a,swept-sun-21,1.066758896388014,21.075564587,0.17757210503659063,6.5854447094264135,1.0234033066498736,1762849632.7915933,21,6.5854447094264135,1.0234033066498736,15,1.1543232327648023,0.1690100837949155,1.066758896388014,0.17757210503659063,1.1543232327648023,1.017934673229684,0.1690100837949155,6.653940758571725,6.653940758571725,1.017934673229684
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,5,32,BPI17,,0.0001,,majority,1,,lstm,concat,1,1,0.1,cl197f3r,neat-shape-23,1.0008194356531976,107.47480483,0.18420742384361555,6.53535899413276,1.000033627511078,1762849931.6670682,107,6.53535899413276,1.000033627511078,15,1.0962950138013363,0.1522812514836443,1.0008194356531976,0.18420742384361555,1.0962950138013363,1.212539089370355,0.1522812514836443,6.790768282783187,6.790768282783187,1.212539089370355
