backbone,batch_size,categorical_features,categorical_targets,continuous_features,continuous_targets,device,embedding_size,epochs,fine_tuning,freeze_layers,grad_clip,hidden_size,log,lora_alpha,lr,model,n_layers,r,rnn_type,seed,strategy,total_params,trainable_params,weight_decay,id,name,best_train_next_activity_loss,best_test_next_remaining_time_loss,train_next_remaining_time_loss,best_test_next_activity_acc,test_next_activity_acc,train_next_activity_acc,best_train_next_time_to_next_event_loss,test_next_activity_loss,test_next_remaining_time_loss,test_next_time_to_next_event_loss,_wandb.runtime,train_next_time_to_next_event_loss,best_test_next_activity_loss,train_next_activity_loss,_timestamp,best_train_next_activity_acc,_step,_runtime,best_test_next_time_to_next_event_loss,best_train_next_remaining_time_loss,few_shot_k
gemma-2-2b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2304,10,freeze,"-1,-2",5,2304,BPI12,,5e-05,nep,1,,lstm,42,sum,2614514717,156128285,0.1,1xz047vi,golden-wildflower-80,0.4049080499509793,2.197491681556387,0.6757239995901836,0.8094616814412353,0.8094616814412353,0.8438653803617308,0.6674974942603159,0.6061989541757028,3.0476001961700554,1.3737647579651309,2528,0.6674974942603159,0.6061989541757028,0.4049080499509793,1763449845.335379,0.8438653803617308,9,2528.17321368,1.3737647579651309,0.6757239995901836,
gemma-2-2b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2304,10,freeze,"0,1",5,2304,BPI12,,5e-05,nep,1,,lstm,42,sum,2614514717,156128285,0.1,3vlicq2c,gallant-spaceship-81,0.4218054019402633,2.203475568164433,0.6601337704814428,0.8062982556476981,0.7713397197597941,0.8412621441818522,0.6597483730684248,0.7215717725321535,2.203475568164433,1.290454943988484,2520,0.6597483730684248,0.6915422829860342,0.4218054019402633,1763452460.3611102,0.8412621441818522,9,2520.168191585,1.290454943988484,0.6601337704814428,
gemma-2-2b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2304,10,freeze,0,5,2304,BPI12,,5e-05,nep,1,,lstm,42,sum,2614514717,78271517,0.1,jibh9t8h,flowing-universe-82,0.44295383666778776,2.2599487036705224,0.6571582337037075,0.7875679153560194,0.7875679153560194,0.8380974256886665,0.6853789588300493,0.72913996251031,2.5270837848223873,1.3650051213161472,2416,0.6859264870315117,0.72913996251031,0.44295383666778776,1763454973.5496247,0.8380974256886665,9,2416.60143676,1.3543765379005683,0.6571582337037075,
gemma-2-2b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2304,10,freeze,-1,5,2304,BPI12,,5e-05,nep,1,,lstm,42,sum,2614514717,78271517,0.1,9jn5ydox,solar-elevator-83,0.41822636575117783,1.975886728778622,0.6768644853633192,0.8049935659136402,0.748731055190163,0.8401221649396832,0.6798569157202966,0.7392250417827844,2.894044705453279,1.4100746436622889,2401,0.6798569157202966,0.6284777840137618,0.41822636575117783,1763457484.0245974,0.8401221649396832,9,2401.156141136,1.364041551623848,0.6768644853633192,
gemma-2-2b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2304,10,freeze,,5,2304,BPI12,,5e-05,nep,1,,lstm,42,sum,2614514717,414749,0.1,9vswnv3k,helpful-star-84,0.8741272560149356,1.991689660479622,0.6748138947262056,0.3865634829854161,0.3865634829854161,0.6812737141204295,0.8654772998545516,1.5255863456205194,1.991689660479622,1.4986998374743132,2292,0.8654772998545516,1.5255863456205194,0.8741272560149356,1763459864.2330875,0.6812737141204295,9,2292.217786986,1.4986259847361283,0.6748138947262056,
gemma-2-2b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2304,0,freeze,,5,2304,BPI12,,5e-05,nep,1,,lstm,42,sum,2614514717,414749,0.1,6nqft6sm,driven-dawn-85,,2.2928457235587745,,0.002251930225907921,0.002251930225907921,,,5.43814918481523,2.2928457235587745,1.6136088681998235,36,,5.43814918481523,,1763460003.3912115,,0,36.530590451,1.6136088681998235,,
gemma-2-2b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2304,10,freeze,,5,2304,BPI12,,5e-05,nep,1,,lstm,42,sum,2614514717,414749,0.1,kou9krfx,toasty-mountain-86,2.288656314214071,1.2403281394979222,0.5593822558876127,0.07247283385759222,0.06366171003717472,0.4322916666666667,0.7405651455822712,3.367738392341467,2.019683858409017,1.5730749697449506,409,0.7405651455822712,3.367738392341467,2.288656314214071,1763460498.9990945,0.4322916666666667,9,408.9544889,1.5521012198862807,0.5593822558876127,8.0
gemma-2-2b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2304,10,lora,,5,2304,BPI12,512,5e-05,nep,1,256,lstm,42,sum,2946782237,332440349,0.1,ifhzbdsq,young-waterfall-87,2.070816377798716,1.6984161945762448,1.1680683717131617,0.06970260223048327,0.06539533886188162,0.4114583333333333,0.8882229369288931,3.576366378063129,3.3162758660726173,1.82131549622251,531,1.190093617265423,3.172658515992354,2.070816377798716,1763461119.1381454,0.4114583333333333,9,531.875681164,1.568668852516812,0.8736692381401857,8.0
gemma-2-2b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2304,10,lora,,5,2304,BPI12,512,5e-05,nep,1,256,lstm,43,sum,2946782237,332440349,0.1,ruc28fax,vague-silence-88,0.5191355984996285,2.0231486318011367,0.6652251186964145,0.714523162710895,0.6360987989705462,0.8044510234291257,0.7311494100172793,1.0193658209729952,2.5299379861292963,1.5571813855188652,3358,0.7311494100172793,0.8771908064552604,0.5191355984996285,1763464567.7781713,0.8044510234291257,9,3358.491882871,1.4145475904258729,0.6652251186964145,
gemma-2-2b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2304,10,freeze,"-1,-2",5,2304,BPI12,,5e-05,nep,1,,lstm,43,sum,2614514717,156128285,0.1,dqx5ehp8,neat-deluge-89,0.4091839336735174,1.932300708510465,0.6766453801658542,0.7956641406920217,0.764798398627395,0.8427083865040069,0.6702132168549727,0.6997003624839444,2.912432629041148,1.423938241268529,2515,0.6702132168549727,0.6409194727377923,0.4091839336735174,1763467266.1232083,0.8427083865040069,9,2515.321614434,1.3580978026223167,0.6766453801658542,
