log,backbone,Setting,total_params,trainable_params,trainable_percent,trainable_percent_fmt,total_params_fmt,"# params
(%trainable)",Dataset,Backbone_pretty
BPI20TravelPermitData,llama32-1b,Freezing,1236074551.0,327735.0,0.02651417746080592,0.0%,1.2e+09,1.2e+09 (0.0%),BPI20TPD,Llama3.2-1B
BPI20TravelPermitData,llama32-1b,"Freezing-[-1, -2]",1236074551.0,121962551.0,9.866925170600005,9.9%,1.2e+09,1.2e+09 (9.9%),BPI20TPD,Llama3.2-1B
BPI20TravelPermitData,llama32-1b,Freezing-[-1],1236074551.0,61145143.0,4.946719674030406,4.9%,1.2e+09,1.2e+09 (4.9%),BPI20TPD,Llama3.2-1B
BPI20TravelPermitData,llama32-1b,"Freezing-[0, 1]",1236074551.0,121962551.0,9.866925170600005,9.9%,1.2e+09,1.2e+09 (9.9%),BPI20TPD,Llama3.2-1B
BPI20TravelPermitData,llama32-1b,Freezing-[0],1236074551.0,61145143.0,4.946719674030406,4.9%,1.2e+09,1.2e+09 (4.9%),BPI20TPD,Llama3.2-1B
BPI20TravelPermitData,llama32-1b,LoRA,1326252087.0,90437687.0,6.8190420121842195,6.8%,1.3e+09,1.3e+09 (6.8%),BPI20TPD,Llama3.2-1B
BPI20TravelPermitData,llama32-1b,ZeroShot,1236074551.0,327735.0,0.02651417746080592,0.0%,1.2e+09,1.2e+09 (0.0%),BPI20TPD,Llama3.2-1B
BPI20TravelPermitData,majority,,1.0,1.0,100.0,100.0%,1.e+00,1.e+00 (100.0%),BPI20TPD,Majority
BPI20TravelPermitData,qwen25-05b,FewShot-Freezing,494146615.0,157751.0,0.03192392605988002,0.0%,4.9e+08,4.9e+08 (0.0%),BPI20TPD,Qwen2.5-0.5B
BPI20TravelPermitData,qwen25-05b,FewShot-LoRA,634917943.0,140885175.0,22.189509141026118,22.2%,6.3e+08,6.3e+08 (22.2%),BPI20TPD,Qwen2.5-0.5B
BPI20TravelPermitData,qwen25-05b,Freezing,494146615.0,157751.0,0.03192392605988002,0.0%,4.9e+08,4.9e+08 (0.0%),BPI20TPD,Qwen2.5-0.5B
BPI20TravelPermitData,qwen25-05b,"Freezing-[-1, -2]",494146615.0,29978935.0,6.0668097463340915,6.1%,4.9e+08,4.9e+08 (6.1%),BPI20TPD,Qwen2.5-0.5B
BPI20TravelPermitData,qwen25-05b,Freezing-[-1],494146615.0,15068343.0,3.049366836196986,3.0%,4.9e+08,4.9e+08 (3.0%),BPI20TPD,Qwen2.5-0.5B
BPI20TravelPermitData,qwen25-05b,"Freezing-[0, 1]",494146615.0,29978935.0,6.0668097463340915,6.1%,4.9e+08,4.9e+08 (6.1%),BPI20TPD,Qwen2.5-0.5B
BPI20TravelPermitData,qwen25-05b,Freezing-[0],494146615.0,15068343.0,3.049366836196986,3.0%,4.9e+08,4.9e+08 (3.0%),BPI20TPD,Qwen2.5-0.5B
BPI20TravelPermitData,qwen25-05b,LoRA,564532279.0,70499511.0,12.488127538939187,12.5%,5.6e+08,5.6e+08 (12.5%),BPI20TPD,Qwen2.5-0.5B
BPI20TravelPermitData,qwen25-05b,ZeroShot,494146615.0,157751.0,0.03192392605988002,0.0%,4.9e+08,4.9e+08 (0.0%),BPI20TPD,Qwen2.5-0.5B
BPI20TravelPermitData,rnn,,222391.0,222391.0,100.0,100.0%,2.2e+05,2.2e+05 (100.0%),BPI20TPD,RNN
BPI20TravelPermitData,transformer,,1874231.0,1874231.0,100.0,100.0%,1.9e+06,1.9e+06 (100.0%),BPI20TPD,Transformer
