log,backbone,batch_size,embedding_size,epochs,freeze_layers,grad_clip,hidden_size,lr,n_layers,rnn_type,strategy,weight_decay,n_runs,mt_score_mean,mt_score_std,test_next_activity_acc_mean,test_next_activity_acc_std,test_next_activity_loss_mean,test_next_activity_loss_std,test_next_remaining_time_loss_mean,test_next_remaining_time_loss_std,test_next_time_to_next_event_loss_mean,test_next_time_to_next_event_loss_std,best_test_next_activity_acc_mean,best_test_next_activity_acc_std,best_test_next_activity_loss_mean,best_test_next_activity_loss_std,best_test_next_remaining_time_loss_mean,best_test_next_remaining_time_loss_std,best_test_next_time_to_next_event_loss_mean,best_test_next_time_to_next_event_loss_std,Dataset,Backbone_pretty,test_next_activity_acc_mean_std,test_next_activity_loss_mean_std,test_next_remaining_time_loss_mean_std,test_next_time_to_next_event_loss_mean_std,best_test_next_activity_acc_mean_std,best_test_next_activity_loss_mean_std,best_test_next_remaining_time_loss_mean_std,best_test_next_time_to_next_event_loss_mean_std,Runtime (h),Setting,lora_alpha,r,few_shot_k,_runtime_mean,_runtime_std
BPI20TravelPermitData,gpt2,8.0,768.0,10.0,,5.0,768.0,5e-05,1.0,lstm,sum,0.1,5.0,,,0.0476937326335288,0.027698485471642,3.871697790670557,0.1699003784380072,1.1738792842713062,0.0648146111481438,1.3039223158819582,0.0518843424755739,0.0486940413707934,0.028311176861321,3.871697790670557,0.1699003784380072,1.1738792842713062,0.0648146111481438,1.3009990716988968,0.055337291627689,BPI20TPD,GPT2,0.0477 ± 0.0277,3.8717 ± 0.1699,1.1739 ± 0.0648,1.3039 ± 0.0519,0.0487 ± 0.0283,3.8717 ± 0.1699,1.1739 ± 0.0648,1.301 ± 0.0553,,FewShot-Freezing,,,8.0,72.40628591660001,5.457048052899005
BPI20TravelPermitData,gpt2,8.0,768.0,10.0,,5.0,768.0,5e-05,1.0,lstm,sum,0.1,5.0,,,0.0572460635998765,0.0193343294855796,3.795565370875916,0.220890375984387,1.5217982374734809,0.5819581254181855,1.2289755086200995,0.0925872281991434,0.0951651744365544,0.0388167076398517,3.614248723839492,0.1261440273383521,0.9294804278329848,0.155585599565539,1.1911841643493313,0.0761333073594522,BPI20TPD,GPT2,0.0572 ± 0.0193,3.7956 ± 0.2209,1.5218 ± 0.582,1.229 ± 0.0926,0.0952 ± 0.0388,3.6142 ± 0.1261,0.9295 ± 0.1556,1.1912 ± 0.0761,,FewShot-LoRA,512.0,256.0,8.0,114.37720586720002,2.922562063419154
BPI20TravelPermitData,gpt2,8.0,768.0,10.0,,5.0,768.0,5e-05,1.0,lstm,sum,0.1,5.0,,,0.6066316764433466,0.0069860428049795,1.2889016720335142,0.0428133065335244,0.8364300849386923,0.0116048238263096,0.9132767835889712,0.0112619166900229,0.6066316764433466,0.0069860428049795,1.2889016720335142,0.0428133065335244,0.8344313885511238,0.0132160454097238,0.9131389538304752,0.0114945209841011,BPI20TPD,GPT2,0.6066 ± 0.007,1.2889 ± 0.0428,0.8364 ± 0.0116,0.9133 ± 0.0113,0.6066 ± 0.007,1.2889 ± 0.0428,0.8344 ± 0.0132,0.9131 ± 0.0115,,Freezing,,,,255.9559972856,7.639319970795241
BPI20TravelPermitData,gpt2,8.0,768.0,10.0,"-1,-2",5.0,768.0,5e-05,1.0,lstm,sum,0.1,5.0,,,0.6085890707008337,0.0035359111600937,1.2085005783924316,0.0487620374491465,0.8851542821450158,0.0262152965569732,0.9237605843186268,0.0131223040233009,0.6090768755788823,0.004072348679372,1.2081567925514722,0.0481624263863086,0.8634584853987002,0.0197954220843404,0.9134889685573973,0.016844883995415,BPI20TPD,GPT2,0.6086 ± 0.0035,1.2085 ± 0.0488,0.8852 ± 0.0262,0.9238 ± 0.0131,0.6091 ± 0.0041,1.2082 ± 0.0482,0.8635 ± 0.0198,0.9135 ± 0.0168,,"Freezing-[-1, -2]",,,,267.6027661896,9.220078932461954
BPI20TravelPermitData,gpt2,8.0,768.0,10.0,-1,5.0,768.0,5e-05,1.0,lstm,sum,0.1,5.0,,,0.6038221673355973,0.0027157825644425,1.2587680690396748,0.0387546701347111,0.8597758175319049,0.0268785407059427,0.9336406441005742,0.0133257645482673,0.6039209632602655,0.0028920130020189,1.2587680690396748,0.0387546701347111,0.8434496978978825,0.0230617675715643,0.9247377480191558,0.015593017033211,BPI20TPD,GPT2,0.6038 ± 0.0027,1.2588 ± 0.0388,0.8598 ± 0.0269,0.9336 ± 0.0133,0.6039 ± 0.0029,1.2588 ± 0.0388,0.8434 ± 0.0231,0.9247 ± 0.0156,,Freezing-[-1],,,,259.2416869444,10.31055865803571
BPI20TravelPermitData,gpt2,8.0,768.0,10.0,"0,1",5.0,768.0,5e-05,1.0,lstm,sum,0.1,5.0,,,0.6256128434702068,0.0035270851000829,1.1517059333473856,0.0317299048349054,0.8616450704884919,0.0242645848926438,0.9242978286566504,0.0324302405640024,0.6268539672738499,0.0019799424524636,1.1309527384848388,0.0163432357889691,0.8536269574520139,0.027074546859533,0.90021655295579,0.0189676469899126,BPI20TPD,GPT2,0.6256 ± 0.0035,1.1517 ± 0.0317,0.8616 ± 0.0243,0.9243 ± 0.0324,0.6269 ± 0.002,1.131 ± 0.0163,0.8536 ± 0.0271,0.9002 ± 0.019,,"Freezing-[0, 1]",,,,277.6204066668,6.688384603765671
BPI20TravelPermitData,gpt2,8.0,768.0,10.0,0,5.0,768.0,5e-05,1.0,lstm,sum,0.1,5.0,,,0.6222661315220747,0.006269738584457,1.1343134866345257,0.0224188998840192,0.9086146970986216,0.0249282318395224,0.9367217876543856,0.0341348585244678,0.6229083050324175,0.0065155267454801,1.1309883313887132,0.0287732744195667,0.8774942445828613,0.016052336078725,0.905758078511242,0.0151316018388234,BPI20TPD,GPT2,0.6223 ± 0.0063,1.1343 ± 0.0224,0.9086 ± 0.0249,0.9367 ± 0.0341,0.6229 ± 0.0065,1.131 ± 0.0288,0.8775 ± 0.0161,0.9058 ± 0.0151,,Freezing-[0],,,,269.21988430759995,8.342328880483683
BPI20TravelPermitData,gpt2,8.0,768.0,10.0,,5.0,768.0,5e-05,1.0,lstm,sum,0.1,5.0,,,0.722130287125656,0.0062684081827194,0.8958536208253761,0.0349243793758792,0.8467325616066894,0.0133123545143662,0.8585175739993796,0.0244640606896273,0.7389194195739426,0.0105179450220863,0.8457607720832317,0.0501547814968317,0.8308895701955741,0.0118422088890576,0.8585175739993796,0.0244640606896273,BPI20TPD,GPT2,0.7221 ± 0.0063,0.8959 ± 0.0349,0.8467 ± 0.0133,0.8585 ± 0.0245,0.7389 ± 0.0105,0.8458 ± 0.0502,0.8309 ± 0.0118,0.8585 ± 0.0245,,LoRA,512.0,256.0,,495.8749319544,16.827746530995757
BPI20TravelPermitData,gpt2,8.0,768.0,0.0,,5.0,768.0,5e-05,1.0,lstm,sum,0.1,5.0,,,0.0367891324482865,0.0313861352610348,4.434779731112153,0.335078214201218,2.3996195010073063,0.8775499095372219,2.7340900923095024,1.518874599405888,0.0367891324482865,0.0313861352610348,4.434779731112153,0.335078214201218,2.3996195010073063,0.8775499095372219,2.7340900923095024,1.518874599405888,BPI20TPD,GPT2,0.0368 ± 0.0314,4.4348 ± 0.3351,2.3996 ± 0.8775,2.7341 ± 1.5189,0.0368 ± 0.0314,4.4348 ± 0.3351,2.3996 ± 0.8775,2.7341 ± 1.5189,,ZeroShot,,,,6.5649989356,0.0869274012516143
