log,backbone,Setting,batch_size,embedding_size,epochs,freeze_layers,grad_clip,hidden_size,lr,n_layers,rnn_type,strategy,weight_decay,lora_alpha,r,few_shot_k,n_runs,_runtime_mean,_runtime_std,test_next_activity_acc_mean,test_next_activity_acc_std,test_next_activity_loss_mean,test_next_activity_loss_std,test_next_remaining_time_loss_mean,test_next_remaining_time_loss_std,test_next_time_to_next_event_loss_mean,test_next_time_to_next_event_loss_std,best_test_next_activity_acc_mean,best_test_next_activity_acc_std,best_test_next_activity_loss_mean,best_test_next_activity_loss_std,best_test_next_remaining_time_loss_mean,best_test_next_remaining_time_loss_std,best_test_next_time_to_next_event_loss_mean,best_test_next_time_to_next_event_loss_std,Dataset,Backbone_pretty,test_next_activity_acc_mean_std,test_next_activity_loss_mean_std,test_next_remaining_time_loss_mean_std,test_next_time_to_next_event_loss_mean_std,best_test_next_activity_acc_mean_std,best_test_next_activity_loss_mean_std,best_test_next_remaining_time_loss_mean_std,best_test_next_time_to_next_event_loss_mean_std
BPI20PrepaidTravelCosts,gemma-2-2b,"Freezing-[-1, -2]",8,2304,10,"-1,-2",5,2304,5e-05,1,lstm,sum,0.1,,,,5.0,304.09113675300006,13.702250063603302,0.6165940594059406,0.014287235064066968,1.3160463836405536,0.1944063992092454,1.0877261277944734,0.12200687171904362,1.116766091771645,0.08144444484279965,0.6600396039603961,0.010000882227528204,1.012372134907411,0.01563813579684743,0.9565880511255548,0.043118134893053675,1.0473849069387604,0.030258481239461996,BPI20PTC,Gemma-2-2B,0.6166 ± 0.0143,1.316 ± 0.1944,1.0877 ± 0.122,1.1168 ± 0.0814,0.66 ± 0.01,1.0124 ± 0.0156,0.9566 ± 0.0431,1.0474 ± 0.0303
BPI20PrepaidTravelCosts,gemma-2-2b,Freezing-[-1],8,2304,10,-1,5,2304,5e-05,1,lstm,sum,0.1,,,,5.0,292.9874752662,32.699162842084846,0.6216633663366337,0.004716447598897065,1.1895102918077223,0.12008645962028519,1.0241247220558694,0.01954516189742791,1.1208672686378556,0.14395312358641907,0.6566336633663367,0.02125140912884996,1.03556218204876,0.027260190696501332,0.9929996337890625,0.022544755755478034,1.0262036119215558,0.02274559981949825,BPI20PTC,Gemma-2-2B,0.6217 ± 0.0047,1.1895 ± 0.1201,1.0241 ± 0.0195,1.1209 ± 0.144,0.6566 ± 0.0213,1.0356 ± 0.0273,0.993 ± 0.0225,1.0262 ± 0.0227
BPI20PrepaidTravelCosts,gemma-2-2b,"Freezing-[0, 1]",8,2304,10,"0,1",5,2304,5e-05,1,lstm,sum,0.1,,,,5.0,358.6405804584,31.657268899953174,0.6165148514851485,0.0013254020222322,1.2881945181931598,0.06148387177033379,0.9732360033847318,0.02749725523810249,1.145930216326572,0.045301768602221196,0.6166336633663366,0.0012523871921458938,1.2101130280258632,0.04070870824974886,0.9660781031504715,0.023259196229575084,1.0333402493920656,0.024886645898227353,BPI20PTC,Gemma-2-2B,0.6165 ± 0.0013,1.2882 ± 0.0615,0.9732 ± 0.0275,1.1459 ± 0.0453,0.6166 ± 0.0013,1.2101 ± 0.0407,0.9661 ± 0.0233,1.0333 ± 0.0249
BPI20PrepaidTravelCosts,gemma-2-2b,Freezing-[0],8,2304,10,0,5,2304,5e-05,1,lstm,sum,0.1,,,,5.0,322.34651554799996,27.956122913344004,0.6158811881188119,0.00042929670076591715,1.2969630899712592,0.021959584894953216,0.9515196371739453,0.008783451280166254,1.130376025303756,0.03608200051778695,0.6158811881188119,0.00042929670076591715,1.2809302672773306,0.0371640126271114,0.9470361244277198,0.012828411280967966,1.0650641452864846,0.013921475439102118,BPI20PTC,Gemma-2-2B,0.6159 ± 0.0004,1.297 ± 0.022,0.9515 ± 0.0088,1.1304 ± 0.0361,0.6159 ± 0.0004,1.2809 ± 0.0372,0.947 ± 0.0128,1.0651 ± 0.0139
BPI20PrepaidTravelCosts,gemma-2-2b,LoRA,8,2304,10,,5,2304,5e-05,1,lstm,sum,0.1,512.0,256.0,,5.0,475.5756036117999,37.291601682846554,0.616,0.023535800985865576,1.1273842065357926,0.10969261832005675,1.2338594445332443,0.49730549590917933,1.234573635290165,0.32432389765042186,0.6671683168316832,0.023500370736698552,1.0157718698010587,0.027030608309569982,0.8568789121892191,0.01986041506273398,1.0157973462661896,0.0231951401936932,BPI20PTC,Gemma-2-2B,0.616 ± 0.0235,1.1274 ± 0.1097,1.2339 ± 0.4973,1.2346 ± 0.3243,0.6672 ± 0.0235,1.0158 ± 0.027,0.8569 ± 0.0199,1.0158 ± 0.0232
BPI20PrepaidTravelCosts,gemma-2-2b,ZeroShot,8,2304,0,,5,2304,5e-05,1,lstm,sum,0.1,,,,5.0,11.816931229,1.1779191150487645,0.036396039603960394,0.01912578129761223,4.077267523132929,0.15786733064330083,2.9621769553458335,2.131619984070834,2.7624600552096226,1.0757944770687833,0.036396039603960394,0.01912578129761223,4.077267523132929,0.15786733064330083,2.9621769553458335,2.131619984070834,2.7624600552096226,1.0757944770687833,BPI20PTC,Gemma-2-2B,0.0364 ± 0.0191,4.0773 ± 0.1579,2.9622 ± 2.1316,2.7625 ± 1.0758,0.0364 ± 0.0191,4.0773 ± 0.1579,2.9622 ± 2.1316,2.7625 ± 1.0758
BPI20PrepaidTravelCosts,gpt2,FewShot-Freezing,8,768,10,,5,768,5e-05,1,lstm,sum,0.1,,,8.0,5.0,20.0209252382,0.6543961139403386,0.05037623762376238,0.03931792748385055,3.4617680655753253,0.23141942897270945,1.6140858679478711,0.1942238023401957,1.635609942955546,0.11937775052627085,0.05211881188118812,0.03953816316467704,3.4617680655753253,0.23141942897270945,1.6140858679478711,0.1942238023401957,1.635609942955546,0.11937775052627085,BPI20PTC,GPT2,0.0504 ± 0.0393,3.4618 ± 0.2314,1.6141 ± 0.1942,1.6356 ± 0.1194,0.0521 ± 0.0395,3.4618 ± 0.2314,1.6141 ± 0.1942,1.6356 ± 0.1194
BPI20PrepaidTravelCosts,gpt2,FewShot-LoRA,8,768,10,,5,768,5e-05,1,lstm,sum,0.1,512.0,256.0,8.0,5.0,35.590627163,1.9248494154245834,0.07865346534653465,0.05805044302921932,3.344685074154694,0.25924842998102565,1.3213035038721446,0.3883614510539175,1.6624174796000564,0.2736297945465881,0.15433663366336633,0.02389304009464302,3.1604023225236646,0.07756385992327645,1.071476572650494,0.11433312057858065,1.3970559466333672,0.09429719742093727,BPI20PTC,GPT2,0.0787 ± 0.0581,3.3447 ± 0.2592,1.3213 ± 0.3884,1.6624 ± 0.2736,0.1543 ± 0.0239,3.1604 ± 0.0776,1.0715 ± 0.1143,1.3971 ± 0.0943
BPI20PrepaidTravelCosts,gpt2,Freezing,8,768,10,,5,768,5e-05,1,lstm,sum,0.1,,,,5.0,72.2158951656,4.271018708234672,0.6163960396039604,0.026707138519820352,1.5287931377864121,0.08496015405070677,1.0963013682129361,0.028109757499423377,1.1400465840254679,0.014711836296638544,0.6163960396039604,0.026707138519820352,1.5287931377864121,0.08496015405070677,1.0963013682129361,0.028109757499423377,1.1400465840254679,0.014711836296638544,BPI20PTC,GPT2,0.6164 ± 0.0267,1.5288 ± 0.085,1.0963 ± 0.0281,1.14 ± 0.0147,0.6164 ± 0.0267,1.5288 ± 0.085,1.0963 ± 0.0281,1.14 ± 0.0147
BPI20PrepaidTravelCosts,gpt2,"Freezing-[-1, -2]",8,768,10,"-1,-2",5,768,5e-05,1,lstm,sum,0.1,,,,5.0,74.8558851562,3.792612260307282,0.6259009900990099,0.023829278755909948,1.222146013382638,0.0474333689226266,0.9958595802949206,0.04566206043096315,1.1766914397513513,0.07704191914146313,0.629029702970297,0.024527532349436075,1.222146013382638,0.0474333689226266,0.9579985011355712,0.03010906997225735,1.079149561287153,0.04458580758135808,BPI20PTC,GPT2,0.6259 ± 0.0238,1.2221 ± 0.0474,0.9959 ± 0.0457,1.1767 ± 0.077,0.629 ± 0.0245,1.2221 ± 0.0474,0.958 ± 0.0301,1.0791 ± 0.0446
BPI20PrepaidTravelCosts,gpt2,Freezing-[-1],8,768,10,-1,5,768,5e-05,1,lstm,sum,0.1,,,,5.0,72.98970229940001,4.083536550255748,0.6343366336633663,0.01863838704449583,1.1987077135142714,0.05075019052753623,0.9788028776810901,0.013482388109857392,1.1514814769253872,0.06695122035019477,0.6356831683168317,0.019010622923585418,1.1987077135142714,0.05075019052753623,0.9565210825098622,0.020608704010000947,1.0752260885710763,0.031806570884432006,BPI20PTC,GPT2,0.6343 ± 0.0186,1.1987 ± 0.0508,0.9788 ± 0.0135,1.1515 ± 0.067,0.6357 ± 0.019,1.1987 ± 0.0508,0.9565 ± 0.0206,1.0752 ± 0.0318
BPI20PrepaidTravelCosts,gpt2,"Freezing-[0, 1]",8,768,10,"0,1",5,768,5e-05,1,lstm,sum,0.1,,,,5.0,73.19930835699999,3.6066210598929804,0.631960396039604,0.013077255308784655,1.0864999337904524,0.0821371381227057,0.9666142573403839,0.03785364571324324,1.0710323956744505,0.054435391508377964,0.6395247524752475,0.020783402244153173,1.0848235917421851,0.08370017037414534,0.9214224324084744,0.02099633683509212,1.0191532565579557,0.022255144841377347,BPI20PTC,GPT2,0.632 ± 0.0131,1.0865 ± 0.0821,0.9666 ± 0.0379,1.071 ± 0.0544,0.6395 ± 0.0208,1.0848 ± 0.0837,0.9214 ± 0.021,1.0192 ± 0.0223
BPI20PrepaidTravelCosts,gpt2,Freezing-[0],8,768,10,0,5,768,5e-05,1,lstm,sum,0.1,,,,5.0,73.5155411392,3.5979921227401714,0.6403564356435644,0.017779046671269057,1.0812163367885173,0.08072583211888087,0.9462264427524982,0.012655145014853958,1.0689356573218167,0.03942053339707061,0.6472079207920792,0.018358048355359147,1.0795884907788569,0.08432460759002447,0.911234475192457,0.023225954293029396,1.0224444673368245,0.015529861939904578,BPI20PTC,GPT2,0.6404 ± 0.0178,1.0812 ± 0.0807,0.9462 ± 0.0127,1.0689 ± 0.0394,0.6472 ± 0.0184,1.0796 ± 0.0843,0.9112 ± 0.0232,1.0224 ± 0.0155
BPI20PrepaidTravelCosts,gpt2,LoRA,8,768,10,,5,768,5e-05,1,lstm,sum,0.1,512.0,256.0,,5.0,135.9070070162,4.566669559889125,0.708039603960396,0.0382820473012346,0.8119089606823309,0.14232892365851116,0.91159526388716,0.03455643033593777,0.9537075335247682,0.041823036347661526,0.7157227722772277,0.031018270812595426,0.7786139311837678,0.12133419788628401,0.882720986215195,0.01033460055215499,0.9216027977820671,0.02420607737076054,BPI20PTC,GPT2,0.708 ± 0.0383,0.8119 ± 0.1423,0.9116 ± 0.0346,0.9537 ± 0.0418,0.7157 ± 0.031,0.7786 ± 0.1213,0.8827 ± 0.0103,0.9216 ± 0.0242
BPI20PrepaidTravelCosts,gpt2,ZeroShot,8,768,0,,5,768,5e-05,1,lstm,sum,0.1,,,,5.0,2.7801387027999995,0.06529150430261849,0.03932673267326733,0.046374191430368986,3.961904939481527,0.4502074041451,3.8671568467923914,2.381460982836808,3.415058316750102,1.4805672479716205,0.03932673267326733,0.046374191430368986,3.961904939481527,0.4502074041451,3.8671568467923914,2.381460982836808,3.415058316750102,1.4805672479716205,BPI20PTC,GPT2,0.0393 ± 0.0464,3.9619 ± 0.4502,3.8672 ± 2.3815,3.4151 ± 1.4806,0.0393 ± 0.0464,3.9619 ± 0.4502,3.8672 ± 2.3815,3.4151 ± 1.4806
