log,backbone,total_params,trainable_params,trainable_percent,trainable_percent_fmt,total_params_fmt,"# params
(%trainable)"
BPI20TravelPermitData,rnn,837943.0,837943.0,100.0,100.0%,8.4e+05,8.4e+05 (100.0%)
BPI20RequestForPayment,rnn,811797.0,811797.0,100.0,100.0%,8.1e+05,8.1e+05 (100.0%)
BPI12,rnn,2139677.0,2139677.0,100.0,100.0%,2.1e+06,2.1e+06 (100.0%)
BPI17,rnn,2140702.0,2140702.0,100.0,100.0%,2.1e+06,2.1e+06 (100.0%)
BPI20PrepaidTravelCosts,rnn,2144802.0,2144802.0,100.0,100.0%,2.1e+06,2.1e+06 (100.0%)
BPI20TravelPermitData,rnn,2166327.0,2166327.0,100.0,100.0%,2.2e+06,2.2e+06 (100.0%)
BPI20RequestForPayment,rnn,2131477.0,2131477.0,100.0,100.0%,2.1e+06,2.1e+06 (100.0%)
BPI12,transformer,338973.0,338973.0,100.0,100.0%,3.4e+05,3.4e+05 (100.0%)
BPI12,transformer,1071133.0,1071133.0,100.0,100.0%,1.1e+06,1.1e+06 (100.0%)
BPI12,transformer,336541.0,336541.0,100.0,100.0%,3.4e+05,3.4e+05 (100.0%)
BPI12,transformer,537245.0,537245.0,100.0,100.0%,5.4e+05,5.4e+05 (100.0%)
BPI12,transformer,1860893.0,1860893.0,100.0,100.0%,1.9e+06,1.9e+06 (100.0%)
BPI12,transformer,933789.0,933789.0,100.0,100.0%,9.3e+05,9.3e+05 (100.0%)
BPI12,transformer,534813.0,534813.0,100.0,100.0%,5.3e+05,5.3e+05 (100.0%)
BPI17,transformer,339230.0,339230.0,100.0,100.0%,3.4e+05,3.4e+05 (100.0%)
BPI17,transformer,1071646.0,1071646.0,100.0,100.0%,1.1e+06,1.1e+06 (100.0%)
BPI17,transformer,336734.0,336734.0,100.0,100.0%,3.4e+05,3.4e+05 (100.0%)
BPI17,transformer,537502.0,537502.0,100.0,100.0%,5.4e+05,5.4e+05 (100.0%)
BPI17,transformer,1861406.0,1861406.0,100.0,100.0%,1.9e+06,1.9e+06 (100.0%)
BPI17,transformer,934046.0,934046.0,100.0,100.0%,9.3e+05,9.3e+05 (100.0%)
BPI17,transformer,535006.0,535006.0,100.0,100.0%,5.4e+05,5.4e+05 (100.0%)
BPI20PrepaidTravelCosts,transformer,340258.0,340258.0,100.0,100.0%,3.4e+05,3.4e+05 (100.0%)
BPI20PrepaidTravelCosts,transformer,1073698.0,1073698.0,100.0,100.0%,1.1e+06,1.1e+06 (100.0%)
BPI20PrepaidTravelCosts,transformer,337506.0,337506.0,100.0,100.0%,3.4e+05,3.4e+05 (100.0%)
BPI20PrepaidTravelCosts,transformer,538530.0,538530.0,100.0,100.0%,5.4e+05,5.4e+05 (100.0%)
BPI20PrepaidTravelCosts,transformer,1863458.0,1863458.0,100.0,100.0%,1.9e+06,1.9e+06 (100.0%)
BPI20PrepaidTravelCosts,transformer,935074.0,935074.0,100.0,100.0%,9.4e+05,9.4e+05 (100.0%)
BPI20PrepaidTravelCosts,transformer,535778.0,535778.0,100.0,100.0%,5.4e+05,5.4e+05 (100.0%)
BPI20TravelPermitData,transformer,345655.0,345655.0,100.0,100.0%,3.5e+05,3.5e+05 (100.0%)
BPI20TravelPermitData,transformer,1084471.0,1084471.0,100.0,100.0%,1.1e+06,1.1e+06 (100.0%)
BPI20TravelPermitData,transformer,341559.0,341559.0,100.0,100.0%,3.4e+05,3.4e+05 (100.0%)
BPI20TravelPermitData,transformer,543927.0,543927.0,100.0,100.0%,5.4e+05,5.4e+05 (100.0%)
BPI20TravelPermitData,transformer,1874231.0,1874231.0,100.0,100.0%,1.9e+06,1.9e+06 (100.0%)
BPI20TravelPermitData,transformer,940471.0,940471.0,100.0,100.0%,9.4e+05,9.4e+05 (100.0%)
BPI20TravelPermitData,transformer,539831.0,539831.0,100.0,100.0%,5.4e+05,5.4e+05 (100.0%)
BPI20RequestForPayment,transformer,336917.0,336917.0,100.0,100.0%,3.4e+05,3.4e+05 (100.0%)
BPI20RequestForPayment,transformer,1067029.0,1067029.0,100.0,100.0%,1.1e+06,1.1e+06 (100.0%)
BPI20RequestForPayment,transformer,334997.0,334997.0,100.0,100.0%,3.3e+05,3.3e+05 (100.0%)
BPI20RequestForPayment,transformer,535189.0,535189.0,100.0,100.0%,5.4e+05,5.4e+05 (100.0%)
BPI20RequestForPayment,transformer,1856789.0,1856789.0,100.0,100.0%,1.9e+06,1.9e+06 (100.0%)
BPI20RequestForPayment,transformer,931733.0,931733.0,100.0,100.0%,9.3e+05,9.3e+05 (100.0%)
BPI20RequestForPayment,transformer,533269.0,533269.0,100.0,100.0%,5.3e+05,5.3e+05 (100.0%)
BPI12,gpt2,124497437.0,14233373.0,11.432663469208606,11.4%,1.2e+08,1.2e+08 (11.4%)
