backbone,batch_size,categorical_features,categorical_targets,continuous_features,continuous_targets,device,embedding_size,epochs,fine_tuning,freeze_layers,grad_clip,hidden_size,log,lora_alpha,lr,majority_stat,model,n_layers,r,rnn_type,strategy,total_params,trainable_params,weight_decay,id,name,train_next_activity_loss,test_next_time_to_next_event_loss,_step,train_next_remaining_time_loss,best_train_next_remaining_time_loss,train_next_time_to_next_event_loss,_wandb.runtime,best_train_next_time_to_next_event_loss,_timestamp,best_test_next_time_to_next_event_loss,best_test_next_activity_acc,test_next_remaining_time_loss,best_test_next_remaining_time_loss,_runtime,best_test_next_activity_loss,best_train_next_activity_acc,best_train_next_activity_loss,train_next_activity_acc,test_next_activity_acc,test_next_activity_loss
rnn,32,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,1,,,5,32,BPI20PrepaidTravelCosts,,0.0001,mean,majority,1,,lstm,concat,1,1,0.1,pox3cg0n,devoted-dream-14,7.104727892929248,1.5882711742892124,0,1.010855986920189,1.010855986920189,1.0023607343323668,1,1.0023607343323668,1762725434.0954568,1.5882711742892124,0.11643564356435644,1.590166987050878,1.590166987050878,1.127169396,7.078860854347154,0.11320224719101124,7.104727892929248,0.11320224719101124,0.11643564356435644,7.078860854347154
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,5,32,BPI12,,0.0001,,majority,1,,lstm,concat,1,1,0.1,whfyo8uu,comic-smoke-17,6.347103796835554,1.5433643597482032,15,1.002977904318027,1.002977904318027,1.0002232369445516,35,1.0002232369445516,1762849426.3144577,1.5433643597482032,0.22603302830998,1.3884333616534337,1.3884333616534337,35.600979633,6.200418674097015,0.20769741207697412,6.347103796835554,0.20769741207697412,0.22603302830998,6.200418674097015
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,5,32,BPI20TravelPermitData,,0.0001,,majority,1,,lstm,concat,1,1,0.1,oy378knj,fast-glitter-20,7.266918261346501,1.2475121456003735,15,1.005812552344841,1.005812552344841,1.0011321142849547,23,1.0011321142849547,1762849602.1916804,1.2475121456003735,0.0783883914788515,1.459291628548745,1.459291628548745,23.808586843,7.390187048728027,0.09379698523458883,7.266918261346501,0.09379698523458883,0.0783883914788515,7.390187048728027
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,5,32,BPI20RequestForPayment,,0.0001,,majority,1,,lstm,concat,1,1,0.1,3gchqw9a,swept-sun-21,6.5854447094264135,1.017934673229684,15,1.066758896388014,1.066758896388014,1.0234033066498736,21,1.0234033066498736,1762849632.7915933,1.017934673229684,0.1690100837949155,1.1543232327648023,1.1543232327648023,21.075564587,6.653940758571725,0.17757210503659063,6.5854447094264135,0.17757210503659063,0.1690100837949155,6.653940758571725
rnn,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,16,25,,,5,32,BPI17,,0.0001,,majority,1,,lstm,concat,1,1,0.1,cl197f3r,neat-shape-23,6.53535899413276,1.212539089370355,15,1.0008194356531976,1.0008194356531976,1.000033627511078,107,1.000033627511078,1762849931.6670682,1.212539089370355,0.1522812514836443,1.0962950138013363,1.0962950138013363,107.47480483,6.790768282783187,0.18420742384361555,6.53535899413276,0.18420742384361555,0.1522812514836443,6.790768282783187
