log,backbone,batch_size,embedding_size,epochs,freeze_layers,grad_clip,hidden_size,lr,n_layers,rnn_type,strategy,weight_decay,n_runs,mt_score_mean,mt_score_std,test_next_activity_acc_mean,test_next_activity_acc_std,test_next_activity_loss_mean,test_next_activity_loss_std,test_next_remaining_time_loss_mean,test_next_remaining_time_loss_std,test_next_time_to_next_event_loss_mean,test_next_time_to_next_event_loss_std,best_test_next_activity_acc_mean,best_test_next_activity_acc_std,best_test_next_activity_loss_mean,best_test_next_activity_loss_std,best_test_next_remaining_time_loss_mean,best_test_next_remaining_time_loss_std,best_test_next_time_to_next_event_loss_mean,best_test_next_time_to_next_event_loss_std,Dataset,Backbone_pretty,test_next_activity_acc_mean_std,test_next_activity_loss_mean_std,test_next_remaining_time_loss_mean_std,test_next_time_to_next_event_loss_mean_std,best_test_next_activity_acc_mean_std,best_test_next_activity_loss_mean_std,best_test_next_remaining_time_loss_mean_std,best_test_next_time_to_next_event_loss_mean_std,Runtime (h)
BPI20PrepaidTravelCosts,tabpfn,16.0,16.0,25.0,,5.0,32.0,0.0001,1.0,lstm,concat,0.1,5.0,2.675161755323624,0.020686410169768195,0.6637000000000001,0.012101652779682642,,,1.1278120679912829,0.07163832768988018,1.1918667024345253,0.2369469344013988,,,,,,,,,BPI20PTC,TabPFN,0.6637 ± 0.0121,nan ± nan,1.1278 ± 0.0716,1.1919 ± 0.2369,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.01156 ± 0.00005
BPI20PrepaidTravelCosts,transformer,32.0,128.0,10.0,,5.0,128.0,0.0005,2.0,lstm,concat,0.1,5.0,2.8049171013762533,0.010290629391017905,0.7820990099009901,0.006139571946951594,0.6682946524667268,0.011753415596514993,1.118715221744953,0.08654131443033679,1.2370345630079214,0.05373069788766485,0.7993663366336634,0.010547598686672339,0.6526530796419275,0.017362788197660354,0.9540593314973436,0.0333541077009263,1.0688097460057475,0.011491131506660058,BPI20PTC,Transformer,0.7821 ± 0.0061,0.6683 ± 0.0118,1.1187 ± 0.0865,1.237 ± 0.0537,0.7994 ± 0.0105,0.6527 ± 0.0174,0.9541 ± 0.0334,1.0688 ± 0.0115,0.00162 ± 0.00003
BPI20RequestForPayment,rnn,32.0,32.0,25.0,,5.0,512.0,0.0001,1.0,lstm,sum,0.01,5.0,2.9657838598553328,0.026820620931940962,0.8777162334895612,0.02336089217144357,0.367771171680348,0.03867742367836709,0.6826249752307444,0.021297305249424248,0.7503616593876543,0.00877712390478211,0.886038914926857,0.011359625510558073,0.36466062145127504,0.037572515128594025,0.6794998904280899,0.02188342379716791,0.7443703159624296,0.007243248804049588,BPI20RfP,RNN,0.8777 ± 0.0234,0.3678 ± 0.0387,0.6826 ± 0.0213,0.7504 ± 0.0088,0.886 ± 0.0114,0.3647 ± 0.0376,0.6795 ± 0.0219,0.7444 ± 0.0072,0.00952 ± 0.00008
BPI20RequestForPayment,saprpt,16.0,16.0,25.0,,5.0,32.0,0.0001,1.0,lstm,concat,0.1,5.0,2.820820066462638,0.014362220073916654,0.7434000000000001,0.00962678554866575,,,0.63826056326269,0.02546903768122824,0.7122186495675882,0.07686632406027687,,,,,,,,,BPI20RfP,SAP-RPT,0.7434 ± 0.0096,nan ± nan,0.6383 ± 0.0255,0.7122 ± 0.0769,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.00452 ± 0.00017
BPI20RequestForPayment,tabpfn,16.0,16.0,25.0,,5.0,32.0,0.0001,1.0,lstm,concat,0.1,5.0,2.8167874404394615,0.013590177807842746,0.7439,0.00876356092008266,,,0.7148282473720393,0.03403311261344792,0.7175835938034503,0.07187603491416303,,,,,,,,,BPI20RfP,TabPFN,0.7439 ± 0.0088,nan ± nan,0.7148 ± 0.034,0.7176 ± 0.0719,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.03380 ± 0.00020
BPI20RequestForPayment,transformer,32.0,128.0,10.0,,5.0,128.0,0.001,2.0,lstm,sum,0.1,5.0,2.9856296434391436,0.0018428288596205357,0.8937082800738532,0.0013193835151249756,0.271948819525488,0.0012299376767435886,0.6571291461517113,0.008995956035355508,0.7407191007690257,0.009141314491964684,0.8954409884959524,0.0009809002499549556,0.26386187956628093,0.0011523303422050566,0.6437652630826963,0.0041830610869489655,0.7187182447175854,0.0036573477451596077,BPI20RfP,Transformer,0.8937 ± 0.0013,0.2719 ± 0.0012,0.6571 ± 0.009,0.7407 ± 0.0091,0.8954 ± 0.001,0.2639 ± 0.0012,0.6438 ± 0.0042,0.7187 ± 0.0037,0.00471 ± 0.00003
BPI20TravelPermitData,rnn,32.0,256.0,25.0,,5.0,128.0,0.0005,1.0,lstm,sum,0.01,5.0,2.764532140022452,0.004791624318610595,0.7302315529484408,0.003090026645624213,0.9501782341509847,0.014005437589160157,1.0098250640369781,0.03826305648740651,1.0520233270186412,0.030783579838838927,0.7314232787897499,0.0026164822886677345,0.9380702115724617,0.015819972643885245,0.7631531001977546,0.03990821697975489,0.858504956849897,0.010360302465637511,BPI20TPD,RNN,0.7302 ± 0.0031,0.9502 ± 0.014,1.0098 ± 0.0383,1.052 ± 0.0308,0.7314 ± 0.0026,0.9381 ± 0.0158,0.7632 ± 0.0399,0.8585 ± 0.0104,0.01171 ± 0.00011
BPI20TravelPermitData,saprpt,16.0,16.0,25.0,,5.0,32.0,0.0001,1.0,lstm,concat,0.1,5.0,2.7198583879995692,0.011009544879283519,0.6869000000000001,0.013045114027864997,,,0.954510239184177,0.06821197811048495,1.042775104326658,0.051510462596359004,,,,,,,,,BPI20TPD,SAP-RPT,0.6869 ± 0.013,nan ± nan,0.9545 ± 0.0682,1.0428 ± 0.0515,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.00449 ± 0.00005
BPI20TravelPermitData,tabpfn,16.0,16.0,25.0,,5.0,32.0,0.0001,1.0,lstm,concat,0.1,5.0,2.636214635196854,0.013501685376665748,0.6228999999999999,0.0120124934963562,,,1.0910449512901288,0.049509609303309825,1.1187307654643377,0.06185656989748742,,,,,,,,,BPI20TPD,TabPFN,0.6229 ± 0.012,nan ± nan,1.091 ± 0.0495,1.1187 ± 0.0619,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.12027 ± 0.00014
BPI20TravelPermitData,transformer,16.0,256.0,10.0,,5.0,256.0,0.0005,2.0,lstm,sum,0.1,5.0,2.773552109305355,0.004338860090680998,0.7183266440259339,0.0019154901887244676,0.8406602816274041,0.014346910130231224,0.8087575119503783,0.03863858477665623,0.8716725267514509,0.030117958052025898,0.7190676134609447,0.002237716959464261,0.8368622483821444,0.014671133159850414,0.7828618302894397,0.01033254315273354,0.847311342433118,0.01778159430413208,BPI20TPD,Transformer,0.7183 ± 0.0019,0.8407 ± 0.0143,0.8088 ± 0.0386,0.8717 ± 0.0301,0.7191 ± 0.0022,0.8369 ± 0.0147,0.7829 ± 0.0103,0.8473 ± 0.0178,0.00808 ± 0.00005
BPI12,majority,,,,,,,,,,,,1.0,2.1509499971439263,,0.22603302830998,,6.200418674097015,,1.3884333616534337,,1.5433643597482032,,0.22603302830998,,6.200418674097015,,1.3884333616534337,,1.5433643597482032,,BPI12,Majority,0.226 ± nan,6.2004 ± nan,1.3884 ± nan,1.5434 ± nan,0.226 ± nan,6.2004 ± nan,1.3884 ± nan,1.5434 ± nan,0.00989 ± nan
BPI17,majority,,,,,,,,,,,,1.0,2.105337749385158,,0.1522812514836443,,6.790768282783187,,1.0962950138013363,,1.212539089370355,,0.1522812514836443,,6.790768282783187,,1.0962950138013363,,1.212539089370355,,BPI17,Majority,0.1523 ± nan,6.7908 ± nan,1.0963 ± nan,1.2125 ± nan,0.1523 ± nan,6.7908 ± nan,1.0963 ± nan,1.2125 ± nan,0.02985 ± nan
BPI20PrepaidTravelCosts,majority,,,,,,,,,,,,1.0,2.0147440985530563,,0.11643564356435644,,7.078860854347154,,1.590166987050878,,1.5882711742892124,,0.11643564356435644,,7.078860854347154,,1.590166987050878,,1.5882711742892124,,BPI20PTC,Majority,0.1164 ± nan,7.0789 ± nan,1.5902 ± nan,1.5883 ± nan,0.1164 ± nan,7.0789 ± nan,1.5902 ± nan,1.5883 ± nan,0.00031 ± nan
BPI20RequestForPayment,majority,,,,,,,,,,,,1.0,2.1327520267803934,,0.1690100837949155,,6.653940758571725,,1.1543232327648023,,1.017934673229684,,0.1690100837949155,,6.653940758571725,,1.1543232327648023,,1.017934673229684,,BPI20RfP,Majority,0.169 ± nan,6.6539 ± nan,1.1543 ± nan,1.0179 ± nan,0.169 ± nan,6.6539 ± nan,1.1543 ± nan,1.0179 ± nan,0.00585 ± nan
BPI20TravelPermitData,majority,,,,,,,,,,,,1.0,2.0005877435001675,,0.0783883914788515,,7.390187048728027,,1.459291628548745,,1.2475121456003735,,0.0783883914788515,,7.390187048728027,,1.459291628548745,,1.2475121456003735,,BPI20TPD,Majority,0.0784 ± nan,7.3902 ± nan,1.4593 ± nan,1.2475 ± nan,0.0784 ± nan,7.3902 ± nan,1.4593 ± nan,1.2475 ± nan,0.00661 ± nan
