log,backbone,batch_size,embedding_size,epochs,freeze_layers,grad_clip,hidden_size,lr,n_layers,rnn_type,strategy,weight_decay,n_runs,mt_score_mean,mt_score_std,test_next_activity_acc_mean,test_next_activity_acc_std,test_next_activity_loss_mean,test_next_activity_loss_std,test_next_remaining_time_loss_mean,test_next_remaining_time_loss_std,test_next_time_to_next_event_loss_mean,test_next_time_to_next_event_loss_std,best_test_next_activity_acc_mean,best_test_next_activity_acc_std,best_test_next_activity_loss_mean,best_test_next_activity_loss_std,best_test_next_remaining_time_loss_mean,best_test_next_remaining_time_loss_std,best_test_next_time_to_next_event_loss_mean,best_test_next_time_to_next_event_loss_std,Dataset,Backbone_pretty,test_next_activity_acc_mean_std,test_next_activity_loss_mean_std,test_next_remaining_time_loss_mean_std,test_next_time_to_next_event_loss_mean_std,best_test_next_activity_acc_mean_std,best_test_next_activity_loss_mean_std,best_test_next_remaining_time_loss_mean_std,best_test_next_time_to_next_event_loss_mean_std,Runtime (h),Setting,lora_alpha,r,few_shot_k,_runtime_mean,_runtime_std
BPI17,gpt2,8.0,768.0,10.0,,5.0,768.0,5e-05,1.0,lstm,sum,0.1,5.0,1.9538532200046697,0.0203507019476202,0.0188461825408129,0.0109433834092344,3.6364330199356623,0.1924150478012495,1.1246031333500115,0.2880487177095719,1.2305707184948758,0.0148729065175065,0.0189953947680767,0.0110907456266323,3.6364330199356623,0.1924150478012495,1.1246031333500115,0.2880487177095719,1.221293767585656,0.0184245809499216,BPI17,GPT2,0.0188 ± 0.0109,3.6364 ± 0.1924,1.1246 ± 0.288,1.2306 ± 0.0149,0.019 ± 0.0111,3.6364 ± 0.1924,1.1246 ± 0.288,1.2213 ± 0.0184,,FewShot-Freezing,,,8.0,170.2134494494,4.9046762942228765
BPI17,gpt2,8.0,768.0,10.0,,5.0,768.0,5e-05,1.0,lstm,sum,0.1,5.0,2.0346056401030808,0.0388114633595196,0.0869093400071893,0.0448154886624971,3.1066520408646774,0.2293137020393055,0.8607027900633655,0.1112165056387302,1.3901373242954491,0.191099099592705,0.1489823047863213,0.0282368062757457,2.945475709649591,0.1052422754169079,0.7456559068169069,0.0234825854767187,1.182368212148989,0.0241594519530888,BPI17,GPT2,0.0869 ± 0.0448,3.1067 ± 0.2293,0.8607 ± 0.1112,1.3901 ± 0.1911,0.149 ± 0.0282,2.9455 ± 0.1052,0.7457 ± 0.0235,1.1824 ± 0.0242,,FewShot-LoRA,512.0,256.0,8.0,262.9811278976,12.038924660105762
BPI17,gpt2,8.0,768.0,10.0,,5.0,768.0,5e-05,1.0,lstm,sum,0.1,5.0,2.84081257157169,0.0156165309743201,0.7755976967058009,0.0137362965089427,0.61246210367692,0.0148529781740971,0.6458006699042336,0.0060861521930724,0.9637292996851688,0.0101100662976968,0.77581269796054,0.0134167596404551,0.61246210367692,0.0148529781740971,0.6458006699042336,0.0060861521930724,0.9637292996851688,0.0101100662976968,BPI17,GPT2,0.7756 ± 0.0137,0.6125 ± 0.0149,0.6458 ± 0.0061,0.9637 ± 0.0101,0.7758 ± 0.0134,0.6125 ± 0.0149,0.6458 ± 0.0061,0.9637 ± 0.0101,,Freezing,,,,1187.8975388324002,15.03104580345438
BPI17,gpt2,8.0,768.0,10.0,"-1,-2",5.0,768.0,5e-05,1.0,lstm,sum,0.1,5.0,2.9253041823527144,0.0126835640926106,0.8582300716896929,0.0041511775980366,0.3768896200199575,0.0093348650475893,0.908211189795908,0.1641754577430158,0.8510072828761363,0.069234964788728,0.8582300716896929,0.0041511775980366,0.3762181154588052,0.0089676643018997,0.7101399324003035,0.0510041758558494,0.807117249016285,0.0363985335016494,BPI17,GPT2,0.8582 ± 0.0042,0.3769 ± 0.0093,0.9082 ± 0.1642,0.851 ± 0.0692,0.8582 ± 0.0042,0.3762 ± 0.009,0.7101 ± 0.051,0.8071 ± 0.0364,,"Freezing-[-1, -2]",,,,1269.7558396742002,16.65693001514931
BPI17,gpt2,8.0,768.0,10.0,-1,5.0,768.0,5e-05,1.0,lstm,sum,0.1,5.0,2.912518544235342,0.0118436255354088,0.8424013673265917,0.0066752533228863,0.4224463959721327,0.0136856205243733,0.8430046693962796,0.0923287948891882,0.8309107502564304,0.0174469231775544,0.8424013673265917,0.0066752533228863,0.4224463959721327,0.0136856205243733,0.7507671751652507,0.0341029629843211,0.8215343768583017,0.0147903267382318,BPI17,GPT2,0.8424 ± 0.0067,0.4224 ± 0.0137,0.843 ± 0.0923,0.8309 ± 0.0174,0.8424 ± 0.0067,0.4224 ± 0.0137,0.7508 ± 0.0341,0.8215 ± 0.0148,,Freezing-[-1],,,,1204.8154803276,35.04668456238711
BPI17,gpt2,8.0,768.0,10.0,"0,1",5.0,768.0,5e-05,1.0,lstm,sum,0.1,5.0,2.8163700386542545,0.0160560218726003,0.8248648611987168,0.0167693895264472,0.5522500857736004,0.090018543625435,1.9534689689919431,0.1186548692925891,1.071398398997485,0.0435212550448731,0.8453856118718674,0.0078754099047972,0.4303912128919862,0.0091310740558706,0.7185314784677175,0.0330122909421702,0.8288044751312619,0.0194651533493198,BPI17,GPT2,0.8249 ± 0.0168,0.5523 ± 0.09,1.9535 ± 0.1187,1.0714 ± 0.0435,0.8454 ± 0.0079,0.4304 ± 0.0091,0.7185 ± 0.033,0.8288 ± 0.0195,,"Freezing-[0, 1]",,,,1291.0380885714,50.871758082406544
BPI17,gpt2,8.0,768.0,10.0,0,5.0,768.0,5e-05,1.0,lstm,sum,0.1,5.0,2.876358039379909,0.0084552767907026,0.8482437042613654,0.0053408909385195,0.4290801639968131,0.0182913854845012,1.4687080367000978,0.0920400619600704,0.9585989082434688,0.0312347757935604,0.8503638743633047,0.006442458736242,0.4243984200808402,0.0207565504073347,0.74292567971449,0.0475515171098764,0.8570227272779395,0.0142592382260817,BPI17,GPT2,0.8482 ± 0.0053,0.4291 ± 0.0183,1.4687 ± 0.092,0.9586 ± 0.0312,0.8504 ± 0.0064,0.4244 ± 0.0208,0.7429 ± 0.0476,0.857 ± 0.0143,,Freezing-[0],,,,1223.8537630322,33.228292128515534
BPI17,gpt2,8.0,768.0,10.0,,5.0,768.0,5e-05,1.0,lstm,sum,0.1,5.0,2.8491998185009315,0.0128958292655279,0.8207818720708623,0.0180405771250982,0.5397529486451542,0.0475976586050244,1.3800886138392456,0.2126828832114112,0.9823750460173972,0.0249231408961536,0.8670959909387485,0.0041527102795056,0.3686647184079082,0.0144335728083884,0.6572876822496411,0.0213633756066875,0.7529424353729488,0.0358618377287629,BPI17,GPT2,0.8208 ± 0.018,0.5398 ± 0.0476,1.3801 ± 0.2127,0.9824 ± 0.0249,0.8671 ± 0.0042,0.3687 ± 0.0144,0.6573 ± 0.0214,0.7529 ± 0.0359,,LoRA,256.0,128.0,,1128.2732758098002,8.104378314856492
BPI17,gpt2,8.0,768.0,0.0,,5.0,768.0,5e-05,1.0,lstm,sum,0.1,5.0,1.7218481494560975,0.1831512443469893,0.0113231733371314,0.0121346247285401,4.2206446684208645,0.2297912038227515,4.870300387414466,3.209473910985185,1.4778143041636345,0.3699051222191682,0.0113231733371314,0.0121346247285401,4.2206446684208645,0.2297912038227515,4.870300387414466,3.209473910985185,1.4778143041636345,0.3699051222191682,BPI17,GPT2,0.0113 ± 0.0121,4.2206 ± 0.2298,4.8703 ± 3.2095,1.4778 ± 0.3699,0.0113 ± 0.0121,4.2206 ± 0.2298,4.8703 ± 3.2095,1.4778 ± 0.3699,,ZeroShot,,,,16.6249482886,1.7105728242947604
