log,backbone,batch_size,embedding_size,epochs,freeze_layers,grad_clip,hidden_size,lr,n_layers,rnn_type,strategy,weight_decay,n_runs,mt_score_mean,mt_score_std,test_next_activity_acc_mean,test_next_activity_acc_std,test_next_activity_loss_mean,test_next_activity_loss_std,test_next_remaining_time_loss_mean,test_next_remaining_time_loss_std,test_next_time_to_next_event_loss_mean,test_next_time_to_next_event_loss_std,best_test_next_activity_acc_mean,best_test_next_activity_acc_std,best_test_next_activity_loss_mean,best_test_next_activity_loss_std,best_test_next_remaining_time_loss_mean,best_test_next_remaining_time_loss_std,best_test_next_time_to_next_event_loss_mean,best_test_next_time_to_next_event_loss_std,Dataset,Backbone_pretty,test_next_activity_acc_mean_std,test_next_activity_loss_mean_std,test_next_remaining_time_loss_mean_std,test_next_time_to_next_event_loss_mean_std,best_test_next_activity_acc_mean_std,best_test_next_activity_loss_mean_std,best_test_next_remaining_time_loss_mean_std,best_test_next_time_to_next_event_loss_mean_std,Setting,lora_alpha,r,few_shot_k
BPI17,gptneo-1b3,8.0,2048.0,10.0,,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,1.9700463741471268,0.0495003656327465,0.0469184283883044,0.0213152325561178,3.196235797164966,0.2788641605089845,1.133241528293529,0.4798697154282585,1.4694317357871836,0.5264887604709961,0.0837962303565494,0.0456586423823255,3.1938715003471927,0.2767141178313246,1.0784731853629297,0.3728806971162213,1.4154257347149417,0.4282685499973318,BPI17,GPT-Neo-1.3B,0.0469 ± 0.0213,3.1962 ± 0.2789,1.1332 ± 0.4799,1.4694 ± 0.5265,0.0838 ± 0.0457,3.1939 ± 0.2767,1.0785 ± 0.3729,1.4154 ± 0.4283,FewShot-Freezing,,,8.0
BPI17,gptneo-1b3,8.0,2048.0,10.0,,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,1.9962244482763816,0.022887541673455,0.0715723577566619,0.0466072033329354,3.1432552452754146,0.1925691484572824,0.9869037142258584,0.2532183351860402,1.6236436212202954,0.5636916233086496,0.1166873529072645,0.0549334374626462,2.899135057703398,0.0590424869956818,0.7651770712852433,0.0887068835640472,1.2121881596483763,0.0193937640839597,BPI17,GPT-Neo-1.3B,0.0716 ± 0.0466,3.1433 ± 0.1926,0.9869 ± 0.2532,1.6236 ± 0.5637,0.1167 ± 0.0549,2.8991 ± 0.059,0.7652 ± 0.0887,1.2122 ± 0.0194,FewShot-LoRA,512.0,256.0,8.0
BPI17,gptneo-1b3,8.0,2048.0,10.0,,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,2.8858805767729985,0.0188287620692334,0.8168759029035343,0.0135395519637982,0.5167557706557406,0.0329023092027063,0.7656138160026098,0.1929329247596101,0.894612277920429,0.0522528131435611,0.8202067267585,0.0167961139098876,0.508964179717235,0.0422286972853587,0.7011887941814475,0.0850880220193065,0.8710200743075923,0.0166953008281423,BPI17,GPT-Neo-1.3B,0.8169 ± 0.0135,0.5168 ± 0.0329,0.7656 ± 0.1929,0.8946 ± 0.0523,0.8202 ± 0.0168,0.509 ± 0.0422,0.7012 ± 0.0851,0.871 ± 0.0167,Freezing,,,
BPI17,gptneo-1b3,8.0,2048.0,10.0,"-1,-2",5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,2.843514058853194,0.0274006527022488,0.8103526156225203,0.0221276731478986,0.5447190572064781,0.077817461105219,1.3125382017050664,0.7993538560336708,0.970154074306414,0.0786491401677093,0.820201300859327,0.0188214610284133,0.509334730873178,0.0512182735251102,0.6320240193038286,0.044755634066431,0.8765985856245182,0.0301162316922837,BPI17,GPT-Neo-1.3B,0.8104 ± 0.0221,0.5447 ± 0.0778,1.3125 ± 0.7994,0.9702 ± 0.0786,0.8202 ± 0.0188,0.5093 ± 0.0512,0.632 ± 0.0448,0.8766 ± 0.0301,"Freezing-[-1, -2]",,,
BPI17,gptneo-1b3,8.0,2048.0,10.0,-1,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,2.8405641545856293,0.0671258073510095,0.8202277521177962,0.0171906713378664,0.5102777007699183,0.0595469532690449,1.5871177702472508,1.3299881063341552,0.9491110894198158,0.064474263621329,0.8218324617982786,0.015236423403741,0.4994563358635545,0.0445144690421894,0.6863884315201207,0.1027547781746375,0.924075916473022,0.0616988788315429,BPI17,GPT-Neo-1.3B,0.8202 ± 0.0172,0.5103 ± 0.0595,1.5871 ± 1.33,0.9491 ± 0.0645,0.8218 ± 0.0152,0.4995 ± 0.0445,0.6864 ± 0.1028,0.9241 ± 0.0617,Freezing-[-1],,,
BPI17,gptneo-1b3,8.0,2048.0,10.0,"0,1",5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,2.862670878581887,0.011761956478199,0.8503469184283883,0.0091861431088209,0.4082925766069553,0.0152330977599919,1.716105051557004,0.1361373575889059,1.0198529005563262,0.0455816924146026,0.8563398240652192,0.0039843708034622,0.3969647729743918,0.0066309036925448,0.6412186158896696,0.0368349701731819,0.9216930414319712,0.0181166604890464,BPI17,GPT-Neo-1.3B,0.8503 ± 0.0092,0.4083 ± 0.0152,1.7161 ± 0.1361,1.0199 ± 0.0456,0.8563 ± 0.004,0.397 ± 0.0066,0.6412 ± 0.0368,0.9217 ± 0.0181,"Freezing-[0, 1]",,,
BPI17,gptneo-1b3,8.0,2048.0,10.0,0,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,2.863002308813391,0.0181376942976329,0.8579126565880589,0.0038596065805395,0.392929359422219,0.0070436413143351,1.807172348014492,0.3094228970120088,1.0694056965515162,0.0646116290537033,0.8594617508020159,0.0055447138153269,0.3922819137301579,0.007640720560664,0.6442727158648689,0.0346672191401934,0.911212992776332,0.0221438594332895,BPI17,GPT-Neo-1.3B,0.8579 ± 0.0039,0.3929 ± 0.007,1.8072 ± 0.3094,1.0694 ± 0.0646,0.8595 ± 0.0055,0.3923 ± 0.0076,0.6443 ± 0.0347,0.9112 ± 0.0221,Freezing-[0],,,
BPI17,gptneo-1b3,8.0,2048.0,10.0,,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,2.7978640272435835,0.0999885072585203,0.7321342096160498,0.0830703414042649,0.7484118262240302,0.2440798814027457,0.6359407673498756,0.0159778311897802,0.9040581140073114,0.126879755708504,0.7712861415752742,0.0789277772618712,0.6419109019495395,0.2396366924064157,0.5962792518451121,0.0074747780633603,0.8387488357534425,0.1009332909326214,BPI17,GPT-Neo-1.3B,0.7321 ± 0.0831,0.7484 ± 0.2441,0.6359 ± 0.016,0.9041 ± 0.1269,0.7713 ± 0.0789,0.6419 ± 0.2396,0.5963 ± 0.0075,0.8387 ± 0.1009,LoRA,512.0,256.0,
BPI17,gptneo-1b3,8.0,2048.0,0.0,,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,1.8976673851608128,0.0382185194452021,0.0444706696237817,0.0415122387344073,4.156338768624505,0.7834091814622502,1.8491094025894093,0.5564086996013423,1.953507507325461,0.4025221165334269,0.0444706696237817,0.0415122387344073,4.156338768624505,0.7834091814622502,1.8491094025894093,0.5564086996013423,1.953507507325461,0.4025221165334269,BPI17,GPT-Neo-1.3B,0.0445 ± 0.0415,4.1563 ± 0.7834,1.8491 ± 0.5564,1.9535 ± 0.4025,0.0445 ± 0.0415,4.1563 ± 0.7834,1.8491 ± 0.5564,1.9535 ± 0.4025,ZeroShot,,,
