log,backbone,batch_size,embedding_size,epochs,freeze_layers,grad_clip,hidden_size,lr,n_layers,rnn_type,strategy,weight_decay,n_runs,mt_score_mean,mt_score_std,test_next_activity_acc_mean,test_next_activity_acc_std,test_next_activity_loss_mean,test_next_activity_loss_std,test_next_remaining_time_loss_mean,test_next_remaining_time_loss_std,test_next_time_to_next_event_loss_mean,test_next_time_to_next_event_loss_std,best_test_next_activity_acc_mean,best_test_next_activity_acc_std,best_test_next_activity_loss_mean,best_test_next_activity_loss_std,best_test_next_remaining_time_loss_mean,best_test_next_remaining_time_loss_std,best_test_next_time_to_next_event_loss_mean,best_test_next_time_to_next_event_loss_std,Dataset,Backbone_pretty,test_next_activity_acc_mean_std,test_next_activity_loss_mean_std,test_next_remaining_time_loss_mean_std,test_next_time_to_next_event_loss_mean_std,best_test_next_activity_acc_mean_std,best_test_next_activity_loss_mean_std,best_test_next_remaining_time_loss_mean_std,best_test_next_time_to_next_event_loss_mean_std,Setting,lora_alpha,r,few_shot_k
BPI20PrepaidTravelCosts,gpt2,8.0,768.0,10.0,,5.0,768.0,5e-05,1.0,lstm,sum,0.1,5.0,1.9369209198221928,0.0524269253641252,0.0503762376237623,0.0393179274838505,3.4617680655753253,0.2314194289727094,1.6140858679478711,0.1942238023401957,1.635609942955546,0.1193777505262708,0.0521188118811881,0.039538163164677,3.4617680655753253,0.2314194289727094,1.6140858679478711,0.1942238023401957,1.635609942955546,0.1193777505262708,BPI20PTC,GPT2,0.0504 ± 0.0393,3.4618 ± 0.2314,1.6141 ± 0.1942,1.6356 ± 0.1194,0.0521 ± 0.0395,3.4618 ± 0.2314,1.6141 ± 0.1942,1.6356 ± 0.1194,FewShot-Freezing,,,8.0
BPI20PrepaidTravelCosts,gpt2,8.0,768.0,10.0,,5.0,768.0,5e-05,1.0,lstm,sum,0.1,5.0,1.983141165268071,0.065045786021582,0.0786534653465346,0.0580504430292193,3.344685074154694,0.2592484299810256,1.3213035038721446,0.3883614510539175,1.6624174796000564,0.2736297945465881,0.1543366336633663,0.023893040094643,3.1604023225236646,0.0775638599232764,1.071476572650494,0.1143331205785806,1.3970559466333672,0.0942971974209372,BPI20PTC,GPT2,0.0787 ± 0.0581,3.3447 ± 0.2592,1.3213 ± 0.3884,1.6624 ± 0.2736,0.1543 ± 0.0239,3.1604 ± 0.0776,1.0715 ± 0.1143,1.3971 ± 0.0943,FewShot-LoRA,512.0,256.0,8.0
BPI20PrepaidTravelCosts,gpt2,8.0,768.0,10.0,,5.0,768.0,5e-05,1.0,lstm,sum,0.1,5.0,2.6284466909178503,0.0292978043611007,0.6163960396039604,0.0267071385198203,1.528793137786412,0.0849601540507067,1.096301368212936,0.0281097574994233,1.140046584025468,0.0147118362966385,0.6163960396039604,0.0267071385198203,1.528793137786412,0.0849601540507067,1.096301368212936,0.0281097574994233,1.140046584025468,0.0147118362966385,BPI20PTC,GPT2,0.6164 ± 0.0267,1.5288 ± 0.085,1.0963 ± 0.0281,1.14 ± 0.0147,0.6164 ± 0.0267,1.5288 ± 0.085,1.0963 ± 0.0281,1.14 ± 0.0147,Freezing,,,
BPI20PrepaidTravelCosts,gpt2,8.0,768.0,10.0,"-1,-2",5.0,768.0,5e-05,1.0,lstm,sum,0.1,5.0,2.642393465707193,0.0275924502100067,0.6259009900990099,0.0238292787559099,1.222146013382638,0.0474333689226266,0.9958595802949206,0.0456620604309631,1.1766914397513513,0.0770419191414631,0.629029702970297,0.024527532349436,1.222146013382638,0.0474333689226266,0.9579985011355712,0.0301090699722573,1.079149561287153,0.044585807581358,BPI20PTC,GPT2,0.6259 ± 0.0238,1.2221 ± 0.0474,0.9959 ± 0.0457,1.1767 ± 0.077,0.629 ± 0.0245,1.2221 ± 0.0474,0.958 ± 0.0301,1.0791 ± 0.0446,"Freezing-[-1, -2]",,,
BPI20PrepaidTravelCosts,gpt2,8.0,768.0,10.0,-1,5.0,768.0,5e-05,1.0,lstm,sum,0.1,5.0,2.654317167630677,0.0227399902866349,0.6343366336633663,0.0186383870444958,1.1987077135142714,0.0507501905275362,0.97880287768109,0.0134823881098573,1.1514814769253872,0.0669512203501947,0.6356831683168317,0.0190106229235854,1.1987077135142714,0.0507501905275362,0.9565210825098622,0.0206087040100009,1.0752260885710765,0.031806570884432,BPI20PTC,GPT2,0.6343 ± 0.0186,1.1987 ± 0.0508,0.9788 ± 0.0135,1.1515 ± 0.067,0.6357 ± 0.019,1.1987 ± 0.0508,0.9565 ± 0.0206,1.0752 ± 0.0318,Freezing-[-1],,,
BPI20PrepaidTravelCosts,gpt2,8.0,768.0,10.0,"0,1",5.0,768.0,5e-05,1.0,lstm,sum,0.1,5.0,2.6572968584768004,0.0116950666504972,0.631960396039604,0.0130772553087846,1.0864999337904524,0.0821371381227057,0.966614257340384,0.0378536457132432,1.0710323956744503,0.0544353915083779,0.6395247524752475,0.0207834022441531,1.0848235917421851,0.0837001703741453,0.9214224324084744,0.0209963368350921,1.0191532565579555,0.0222551448413773,BPI20PTC,GPT2,0.632 ± 0.0131,1.0865 ± 0.0821,0.9666 ± 0.0379,1.071 ± 0.0544,0.6395 ± 0.0208,1.0848 ± 0.0837,0.9214 ± 0.021,1.0192 ± 0.0223,"Freezing-[0, 1]",,,
BPI20PrepaidTravelCosts,gpt2,8.0,768.0,10.0,0,5.0,768.0,5e-05,1.0,lstm,sum,0.1,5.0,2.667937879311986,0.0172773509812416,0.6403564356435644,0.017779046671269,1.0812163367885173,0.0807258321188808,0.9462264427524982,0.0126551450148539,1.0689356573218167,0.0394205333970706,0.6472079207920792,0.0183580483553591,1.0795884907788569,0.0843246075900244,0.911234475192457,0.0232259542930293,1.0224444673368245,0.0155298619399045,BPI20PTC,GPT2,0.6404 ± 0.0178,1.0812 ± 0.0807,0.9462 ± 0.0127,1.0689 ± 0.0394,0.6472 ± 0.0184,1.0796 ± 0.0843,0.9112 ± 0.0232,1.0224 ± 0.0155,Freezing-[0],,,
BPI20PrepaidTravelCosts,gpt2,8.0,768.0,10.0,,5.0,768.0,5e-05,1.0,lstm,sum,0.1,5.0,2.7525585480774217,0.0445226536309504,0.708039603960396,0.0382820473012346,0.8119089606823309,0.1423289236585111,0.91159526388716,0.0345564303359377,0.9537075335247682,0.0418230363476615,0.7157227722772277,0.0310182708125954,0.7786139311837678,0.121334197886284,0.882720986215195,0.0103346005521549,0.9216027977820672,0.0242060773707605,BPI20PTC,GPT2,0.708 ± 0.0383,0.8119 ± 0.1423,0.9116 ± 0.0346,0.9537 ± 0.0418,0.7157 ± 0.031,0.7786 ± 0.1213,0.8827 ± 0.0103,0.9216 ± 0.0242,LoRA,512.0,256.0,
BPI20PrepaidTravelCosts,gpt2,8.0,768.0,0.0,,5.0,768.0,5e-05,1.0,lstm,sum,0.1,5.0,1.6896202029198977,0.1523017582410307,0.0393267326732673,0.0463741914303689,3.961904939481527,0.4502074041451,3.867156846792392,2.381460982836808,3.415058316750102,1.4805672479716203,0.0393267326732673,0.0463741914303689,3.961904939481527,0.4502074041451,3.867156846792392,2.381460982836808,3.415058316750102,1.4805672479716203,BPI20PTC,GPT2,0.0393 ± 0.0464,3.9619 ± 0.4502,3.8672 ± 2.3815,3.4151 ± 1.4806,0.0393 ± 0.0464,3.9619 ± 0.4502,3.8672 ± 2.3815,3.4151 ± 1.4806,ZeroShot,,,
