log,backbone,batch_size,embedding_size,epochs,freeze_layers,grad_clip,hidden_size,lr,n_layers,rnn_type,strategy,weight_decay,n_runs,total_params,trainable_params,mt_score_mean,mt_score_std,test_next_activity_acc_mean,test_next_activity_acc_std,test_next_activity_loss_mean,test_next_activity_loss_std,test_next_remaining_time_loss_mean,test_next_remaining_time_loss_std,test_next_time_to_next_event_loss_mean,test_next_time_to_next_event_loss_std,best_test_next_activity_acc_mean,best_test_next_activity_acc_std,best_test_next_activity_loss_mean,best_test_next_activity_loss_std,best_test_next_remaining_time_loss_mean,best_test_next_remaining_time_loss_std,best_test_next_time_to_next_event_loss_mean,best_test_next_time_to_next_event_loss_std,Dataset,Backbone_pretty,test_next_activity_acc_mean_std,test_next_activity_loss_mean_std,test_next_remaining_time_loss_mean_std,test_next_time_to_next_event_loss_mean_std,best_test_next_activity_acc_mean_std,best_test_next_activity_loss_mean_std,best_test_next_remaining_time_loss_mean_std,best_test_next_time_to_next_event_loss_mean_std,Runtime (h),Setting,lora_alpha,r,few_shot_k
BPI20PrepaidTravelCosts,gptneo-1b3,8.0,2048.0,10.0,,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,1315749922.0,174114.0,1.987833671179994,0.0610881028334462,0.0933069306930693,0.0388818827198833,3.325308611501562,0.2952428618703879,1.497235628109167,0.3012033795974517,1.6903615218436363,0.187869913119374,0.1005940594059406,0.0334108173707356,3.294598909510244,0.2464488035217932,1.4897652582602925,0.2945699661288042,1.6776646082849789,0.1797412608032728,BPI20PTC,GPT-Neo-1.3B,0.0933 ± 0.0389,3.3253 ± 0.2952,1.4972 ± 0.3012,1.6904 ± 0.1879,0.1006 ± 0.0334,3.2946 ± 0.2464,1.4898 ± 0.2946,1.6777 ± 0.1797,0.00820 ± 0.00008,FewShot-Freezing,,,8.0
BPI20PrepaidTravelCosts,gptneo-1b3,8.0,2048.0,10.0,,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,1366081570.0,50505762.0,1.9708178568488983,0.0509856933310308,0.0637623762376237,0.0322617347254809,3.314233262845785,0.2389016257856919,1.1697281475633678,0.1544141774595311,1.7275339834005523,0.4890669425375574,0.106019801980198,0.0338896298167559,3.2138579214114955,0.0807926154407985,1.1203486284407058,0.1171087850567653,1.490751020620365,0.0529380386874246,BPI20PTC,GPT-Neo-1.3B,0.0638 ± 0.0323,3.3142 ± 0.2389,1.1697 ± 0.1544,1.7275 ± 0.4891,0.106 ± 0.0339,3.2139 ± 0.0808,1.1203 ± 0.1171,1.4908 ± 0.0529,0.00989 ± 0.00005,FewShot-LoRA,512.0,256.0,8.0
BPI20PrepaidTravelCosts,gptneo-1b3,8.0,2048.0,10.0,,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,1315749922.0,174114.0,2.524365118800883,0.0800458205483791,0.5243564356435644,0.0661669175223863,1.555109067085946,0.1991628569021901,1.0219000209959426,0.0779684577907827,1.2129895905032015,0.1422212827251497,0.5346930693069306,0.0751775860491153,1.5229011301097304,0.2258804927375682,1.0142862988840236,0.0724545283880921,1.197369796205275,0.1237786356634001,BPI20PTC,GPT-Neo-1.3B,0.5244 ± 0.0662,1.5551 ± 0.1992,1.0219 ± 0.078,1.213 ± 0.1422,0.5347 ± 0.0752,1.5229 ± 0.2259,1.0143 ± 0.0725,1.1974 ± 0.1238,0.03075 ± 0.00012,Freezing,,,
BPI20PrepaidTravelCosts,gptneo-1b3,8.0,2048.0,10.0,"-1,-2",5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,1315749922.0,100878370.0,2.5320634989741686,0.0593272612309984,0.5238415841584158,0.0469936495468857,1.6512545344664322,0.2034952641127159,0.960407799125898,0.0385990414123487,1.134231215127624,0.117372112154765,0.5520792079207921,0.0328563726155045,1.5054857658537308,0.1738493252997192,0.9312052815786682,0.0583949045864379,1.0834085655117978,0.0845551376796972,BPI20PTC,GPT-Neo-1.3B,0.5238 ± 0.047,1.6513 ± 0.2035,0.9604 ± 0.0386,1.1342 ± 0.1174,0.5521 ± 0.0329,1.5055 ± 0.1738,0.9312 ± 0.0584,1.0834 ± 0.0846,0.03706 ± 0.00011,"Freezing-[-1, -2]",,,
BPI20PrepaidTravelCosts,gptneo-1b3,8.0,2048.0,10.0,-1,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,1315749922.0,50526242.0,2.537079078342624,0.0581906560121806,0.5266138613861386,0.045163407305855,1.618123944613013,0.2482712675415041,0.9558049428014472,0.0690814585773985,1.107152726253661,0.0761027142151085,0.5437227722772278,0.0239085438447758,1.5047963947824912,0.1573653797343922,0.928351989104016,0.0776398909552503,1.0933488767501154,0.088466211055174,BPI20PTC,GPT-Neo-1.3B,0.5266 ± 0.0452,1.6181 ± 0.2483,0.9558 ± 0.0691,1.1072 ± 0.0761,0.5437 ± 0.0239,1.5048 ± 0.1574,0.9284 ± 0.0776,1.0933 ± 0.0885,0.03379 ± 0.00006,Freezing-[-1],,,
BPI20PrepaidTravelCosts,gptneo-1b3,8.0,2048.0,10.0,"0,1",5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,1315749922.0,100878370.0,2.622543185491151,0.0281906060137868,0.6171089108910891,0.0280977469556184,1.2155263919830324,0.1735827470709731,0.9671787494999348,0.0893409858972297,1.34770361930545,0.2837289037502947,0.6348118811881188,0.0412298436790992,1.1359318664003126,0.1967532017666222,0.9027051432581232,0.0158551911788717,0.9819425594783068,0.0280171843374181,BPI20PTC,GPT-Neo-1.3B,0.6171 ± 0.0281,1.2155 ± 0.1736,0.9672 ± 0.0893,1.3477 ± 0.2837,0.6348 ± 0.0412,1.1359 ± 0.1968,0.9027 ± 0.0159,0.9819 ± 0.028,0.03700 ± 0.00002,"Freezing-[0, 1]",,,
BPI20PrepaidTravelCosts,gptneo-1b3,8.0,2048.0,10.0,0,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,1315749922.0,50526242.0,2.6315480296615603,0.0119566216728836,0.6162376237623762,0.0193538399414272,1.147303240936581,0.1412450464796739,1.029032848905809,0.0898431952336961,1.1298843645341323,0.1611388245894855,0.6255841584158416,0.023181598968412,1.147303240936581,0.1412450464796739,0.927012949310907,0.0468664957506878,0.9988411926042916,0.011269057021848,BPI20PTC,GPT-Neo-1.3B,0.6162 ± 0.0194,1.1473 ± 0.1412,1.029 ± 0.0898,1.1299 ± 0.1611,0.6256 ± 0.0232,1.1473 ± 0.1412,0.927 ± 0.0469,0.9988 ± 0.0113,0.03381 ± 0.00006,Freezing-[0],,,
BPI20PrepaidTravelCosts,gptneo-1b3,8.0,2048.0,10.0,,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,1340915746.0,25339938.0,2.697567159801947,0.0500300489168228,0.6711287128712872,0.0449226589782648,1.0815677196389375,0.1562252265268716,0.9758969045015846,0.0456702085845756,1.0998242009040151,0.0332622345347512,0.7161584158415841,0.0390419529580093,1.005832771556212,0.0383579684273028,0.8868015516111166,0.0298444975984872,0.9500195155096526,0.0289735163590584,BPI20PTC,GPT-Neo-1.3B,0.6711 ± 0.0449,1.0816 ± 0.1562,0.9759 ± 0.0457,1.0998 ± 0.0333,0.7162 ± 0.039,1.0058 ± 0.0384,0.8868 ± 0.0298,0.95 ± 0.029,0.03542 ± 0.00018,LoRA,256.0,128.0,
BPI20PrepaidTravelCosts,gptneo-1b3,8.0,2048.0,0.0,,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,1315749922.0,174114.0,1.670040771727549,0.0866423692521657,0.0142574257425742,0.0172907688998529,4.249565444341981,0.2998645199397315,3.2388386524502595,1.7637327926744562,3.845409439389068,0.7917446806964443,0.0142574257425742,0.0172907688998529,4.249565444341981,0.2998645199397315,3.2388386524502595,1.7637327926744562,3.845409439389068,0.7917446806964443,BPI20PTC,GPT-Neo-1.3B,0.0143 ± 0.0173,4.2496 ± 0.2999,3.2388 ± 1.7637,3.8454 ± 0.7917,0.0143 ± 0.0173,4.2496 ± 0.2999,3.2388 ± 1.7637,3.8454 ± 0.7917,0.00078 ± 0.00003,ZeroShot,,,
