log,backbone,Setting,total_params,trainable_params,trainable_percent,trainable_percent_fmt,total_params_fmt,"# params
(%trainable)",Dataset,Backbone_pretty
BPI20PrepaidTravelCosts,llama32-1b,"Freezing-[0, 1]",1235988514.0,121876514.0,9.860651018962463,9.9%,1.2e+09,1.2e+09 (9.9%),BPI20PTC,Llama3.2-1B
BPI20PrepaidTravelCosts,llama32-1b,Freezing-[0],1235988514.0,61059106.0,4.940103027527002,4.9%,1.2e+09,1.2e+09 (4.9%),BPI20PTC,Llama3.2-1B
BPI20PrepaidTravelCosts,llama32-1b,LoRA,1416343586.0,180529186.0,12.746143505323149,12.7%,1.4e+09,1.4e+09 (12.7%),BPI20PTC,Llama3.2-1B
BPI20PrepaidTravelCosts,llama32-1b,ZeroShot,1235988514.0,241698.0,0.019555036091540894,0.0%,1.2e+09,1.2e+09 (0.0%),BPI20PTC,Llama3.2-1B
BPI20PrepaidTravelCosts,majority,,1.0,1.0,100.0,100.0%,1.e+00,1.e+00 (100.0%),BPI20PTC,Majority
BPI20PrepaidTravelCosts,qwen25-05b,FewShot-Freezing,494108962.0,120098.0,0.024305974842852577,0.0%,4.9e+08,4.9e+08 (0.0%),BPI20PTC,Qwen2.5-0.5B
BPI20PrepaidTravelCosts,qwen25-05b,FewShot-LoRA,634880290.0,140847522.0,22.184894415292057,22.2%,6.3e+08,6.3e+08 (22.2%),BPI20PTC,Qwen2.5-0.5B
BPI20PrepaidTravelCosts,qwen25-05b,Freezing,494108962.0,120098.0,0.024305974842852577,0.0%,4.9e+08,4.9e+08 (0.0%),BPI20PTC,Qwen2.5-0.5B
BPI20PrepaidTravelCosts,qwen25-05b,"Freezing-[-1, -2]",494108962.0,29941282.0,6.059651676587077,6.1%,4.9e+08,4.9e+08 (6.1%),BPI20PTC,Qwen2.5-0.5B
BPI20PrepaidTravelCosts,qwen25-05b,Freezing-[-1],494108962.0,15030690.0,3.0419788257149647,3.0%,4.9e+08,4.9e+08 (3.0%),BPI20PTC,Qwen2.5-0.5B
BPI20PrepaidTravelCosts,qwen25-05b,"Freezing-[0, 1]",494108962.0,29941282.0,6.059651676587077,6.1%,4.9e+08,4.9e+08 (6.1%),BPI20PTC,Qwen2.5-0.5B
BPI20PrepaidTravelCosts,qwen25-05b,Freezing-[0],494108962.0,15030690.0,3.0419788257149647,3.0%,4.9e+08,4.9e+08 (3.0%),BPI20PTC,Qwen2.5-0.5B
BPI20PrepaidTravelCosts,qwen25-05b,LoRA,564494626.0,70461858.0,12.482290309704384,12.5%,5.6e+08,5.6e+08 (12.5%),BPI20PTC,Qwen2.5-0.5B
BPI20PrepaidTravelCosts,qwen25-05b,ZeroShot,494108962.0,120098.0,0.024305974842852577,0.0%,4.9e+08,4.9e+08 (0.0%),BPI20PTC,Qwen2.5-0.5B
BPI20PrepaidTravelCosts,rnn,,143010.0,143010.0,100.0,100.0%,1.4e+05,1.4e+05 (100.0%),BPI20PTC,RNN
BPI20PrepaidTravelCosts,transformer,,535778.0,535778.0,100.0,100.0%,5.4e+05,5.4e+05 (100.0%),BPI20PTC,Transformer
