log,backbone,batch_size,embedding_size,epochs,freeze_layers,grad_clip,hidden_size,lr,n_layers,rnn_type,strategy,weight_decay,n_runs,mt_score_mean,mt_score_std,test_next_activity_acc_mean,test_next_activity_acc_std,test_next_activity_loss_mean,test_next_activity_loss_std,test_next_remaining_time_loss_mean,test_next_remaining_time_loss_std,test_next_time_to_next_event_loss_mean,test_next_time_to_next_event_loss_std,best_test_next_activity_acc_mean,best_test_next_activity_acc_std,best_test_next_activity_loss_mean,best_test_next_activity_loss_std,best_test_next_remaining_time_loss_mean,best_test_next_remaining_time_loss_std,best_test_next_time_to_next_event_loss_mean,best_test_next_time_to_next_event_loss_std,Dataset,Backbone_pretty,test_next_activity_acc_mean_std,test_next_activity_loss_mean_std,test_next_remaining_time_loss_mean_std,test_next_time_to_next_event_loss_mean_std,best_test_next_activity_acc_mean_std,best_test_next_activity_loss_mean_std,best_test_next_remaining_time_loss_mean_std,best_test_next_time_to_next_event_loss_mean_std,Runtime (h),Setting,lora_alpha,r,few_shot_k,_runtime_mean,_runtime_std
BPI20RequestForPayment,llama32-1b,8.0,2048.0,10.0,,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,2.2334994646899577,0.0566009295815243,0.2413861667376792,0.0529772001533324,2.483507311918099,0.1328916293725415,0.8859688355898658,0.0539365366485229,0.9350049525562836,0.0810571086193279,0.2424939639255787,0.0521390067083284,2.479318570826579,0.133123866446023,0.8858395758245399,0.053875958161725,0.9343868670079571,0.0814309874087377,BPI20RfP,Llama3.2-1B,0.2414 ± 0.053,2.4835 ± 0.1329,0.886 ± 0.0539,0.935 ± 0.0811,0.2425 ± 0.0521,2.4793 ± 0.1331,0.8858 ± 0.0539,0.9344 ± 0.0814,,FewShot-Freezing,,,8.0,37.2724769592,0.1986818036219497
BPI20RequestForPayment,llama32-1b,8.0,2048.0,10.0,,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,2.0553354717118686,0.1194193448919119,0.1429342422951285,0.1360262499778246,2.4731462177135204,0.3593170518752714,1.546065143725527,0.5457214023487147,1.448852232534969,0.45118861542407,0.2831131941485584,0.09764847949344,2.3239896592523643,0.2779919513318574,1.0179565472488394,0.0782706703246288,0.9796596438247124,0.0203455380501836,BPI20RfP,Llama3.2-1B,0.1429 ± 0.136,2.4731 ± 0.3593,1.5461 ± 0.5457,1.4489 ± 0.4512,0.2831 ± 0.0976,2.324 ± 0.278,1.018 ± 0.0783,0.9797 ± 0.0203,,FewShot-LoRA,512.0,256.0,8.0,56.9051608496,0.4582394090493575
BPI20RequestForPayment,llama32-1b,8.0,2048.0,10.0,,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,2.9836132715552464,0.0005501211974747,0.8923448373810539,0.0001004270389414,0.2806208903233176,0.0036314824376997,0.6733213791334567,0.00705029354752,0.734146225613265,0.0039625593211514,0.8925152677176538,0.0001851783100469,0.2805756105277505,0.0036483667804736,0.6720717071318656,0.0057103561022506,0.7335787939866181,0.0038426941436078,BPI20RfP,Llama3.2-1B,0.8923 ± 0.0001,0.2806 ± 0.0036,0.6733 ± 0.0071,0.7341 ± 0.004,0.8925 ± 0.0002,0.2806 ± 0.0036,0.6721 ± 0.0057,0.7336 ± 0.0038,,Freezing,,,,286.1305857798,1.2456609724869332
BPI20RequestForPayment,llama32-1b,8.0,2048.0,10.0,"-1,-2",5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,2.9746286809481632,0.0051690797951883,0.8890214458173556,0.0040689685168516,0.2835912137220502,0.009844248213566,0.7252793342886688,0.0372187975709161,0.7729117470223732,0.019748738306929,0.8921175969322539,0.0005907295652062,0.2735936369243763,0.0039984834849542,0.6774503222041435,0.0188681215025131,0.754085622553696,0.005264460363735,BPI20RfP,Llama3.2-1B,0.889 ± 0.0041,0.2836 ± 0.0098,0.7253 ± 0.0372,0.7729 ± 0.0197,0.8921 ± 0.0006,0.2736 ± 0.004,0.6775 ± 0.0189,0.7541 ± 0.0053,,"Freezing-[-1, -2]",,,,376.4199631664,2.455258063630574
BPI20RequestForPayment,llama32-1b,8.0,2048.0,10.0,-1,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,2.966884744540443,0.0041218864319729,0.8890498508734556,0.0035752590055542,0.2731894789864911,0.0019712958490662,0.8054105112590229,0.0638156591038307,0.8267698797578923,0.0216401850130716,0.8916915210907541,0.001847966673123,0.2701140478784566,0.0005318876356301,0.7366912307192056,0.050087133168287,0.7745933799272301,0.0165405138036118,BPI20RfP,Llama3.2-1B,0.889 ± 0.0036,0.2732 ± 0.002,0.8054 ± 0.0638,0.8268 ± 0.0216,0.8917 ± 0.0018,0.2701 ± 0.0005,0.7367 ± 0.0501,0.7746 ± 0.0165,,Freezing-[-1],,,,329.4253968324,1.868947464935216
BPI20RequestForPayment,llama32-1b,8.0,2048.0,10.0,"0,1",5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,2.974434622810686,0.0056642391524599,0.8922596222127538,0.0018911240750892,0.2749736827876889,0.0085608653821458,0.7687209106849483,0.0600638067029643,0.795448872237496,0.0414888135422605,0.8935094446811533,0.0012109685412465,0.2704063896089262,0.0014901202289134,0.7557162039423172,0.0619068135321825,0.7657982330365608,0.0293004351932334,BPI20RfP,Llama3.2-1B,0.8923 ± 0.0019,0.275 ± 0.0086,0.7687 ± 0.0601,0.7954 ± 0.0415,0.8935 ± 0.0012,0.2704 ± 0.0015,0.7557 ± 0.0619,0.7658 ± 0.0293,,"Freezing-[0, 1]",,,,376.9247061586,2.925232686864128
BPI20RequestForPayment,llama32-1b,8.0,2048.0,10.0,0,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,2.978068992237634,0.0017106006687094,0.8912370401931543,0.0013032318985319,0.2752343056706809,0.0031785952286657,0.7272713915696623,0.0280473736650686,0.7553721181406011,0.0020488195661284,0.8919755716517539,0.0002376537499031,0.2728939964425545,0.0022126977059693,0.7139491202461838,0.0082924973029401,0.7473836540752574,0.0061689173625489,BPI20RfP,Llama3.2-1B,0.8912 ± 0.0013,0.2752 ± 0.0032,0.7273 ± 0.028,0.7554 ± 0.002,0.892 ± 0.0002,0.2729 ± 0.0022,0.7139 ± 0.0083,0.7474 ± 0.0062,,Freezing-[0],,,,329.64545311840004,2.421811530108263
BPI20RequestForPayment,llama32-1b,8.0,2048.0,10.0,,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,2.9763137849061603,0.0080042130903299,0.8860105098707571,0.0062172367504355,0.2854049753319927,0.0383372083027304,0.6633883830990037,0.0143025899191136,0.7469453851398868,0.0126231073770131,0.8916347109785543,0.0016379154373911,0.2672126730333893,0.0030619126169004,0.649861261367527,0.0049870375305017,0.7407456896112412,0.0034984582602742,BPI20RfP,Llama3.2-1B,0.886 ± 0.0062,0.2854 ± 0.0383,0.6634 ± 0.0143,0.7469 ± 0.0126,0.8916 ± 0.0016,0.2672 ± 0.0031,0.6499 ± 0.005,0.7407 ± 0.0035,,LoRA,256.0,128.0,,515.775667308,2.504756387360521
BPI20RequestForPayment,llama32-1b,8.0,2048.0,0.0,,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,1.865680980116729,0.0958286212583083,0.0622922880272688,0.0576031671743987,3.5366463709818907,0.734369177897556,2.106921987854576,1.661789969138406,2.56127617891125,1.1640982669921838,0.0622922880272688,0.0576031671743987,3.5366463709818907,0.734369177897556,2.106921987854576,1.661789969138406,2.56127617891125,1.1640982669921838,BPI20RfP,Llama3.2-1B,0.0623 ± 0.0576,3.5366 ± 0.7344,2.1069 ± 1.6618,2.5613 ± 1.1641,0.0623 ± 0.0576,3.5366 ± 0.7344,2.1069 ± 1.6618,2.5613 ± 1.1641,,ZeroShot,,,,3.3828307752,0.0636877617872103
